seg_id,within_period,use,type,parameter,fraction,units,n_samples_collected,n_years_sampled,n_exceedances,n_years_w_exceedances,n_no_result_value_provided,n_threshold_data_absent,notes
0101-0030,FALSE,fishing,aquatic_chronic,ammonia,total,ug/l,4,2,0,0,0,4,none
0101-0030,FALSE,secondary_contact_recreation,recreation,phosphorus,total,ug/l,5,2,2,2,0,0,none
0101-0030,FALSE,primary_contact_recreation,recreation,phosphorus,total,ug/l,5,2,2,2,0,0,none
0101-0038,FALSE,fishing,aquatic_chronic,ammonia,total,ug/l,5,2,0,0,0,5,none
0101-0038,FALSE,secondary_contact_recreation,recreation,phosphorus,total,ug/l,5,2,2,2,0,0,none
0101-0038,FALSE,primary_contact_recreation,recreation,phosphorus,total,ug/l,5,2,2,2,0,0,none
0101-0038,TRUE,fishing,aquatic_chronic,ammonia,total,ug/l,2,1,0,0,0,2,none
0101-0038,TRUE,fishing,aquatic_chronic,nitrite,total,ug/l,2,1,0,0,0,0,none
0101-0038,TRUE,fishing,none,dissolved_oxygen,dissolved,mg/l,1,1,0,0,0,0,n_exceedances may not be intiutive for this parameter because there are multiple components to the WQS. n_exceedances may be greater than n_samples_collected if a single sample was marked as an exceedance for multiple components of the WQS.
0101-0038,TRUE,fishing,none,ph,total,ph_units,1,1,0,0,0,0,none
0102-0033,FALSE,fishing,aquatic_chronic,ammonia,total,ug/l,2,1,0,0,0,2,none
0102-0033,FALSE,secondary_contact_recreation,recreation,phosphorus,total,ug/l,5,2,1,1,0,0,none
0102-0033,FALSE,primary_contact_recreation,recreation,phosphorus,total,ug/l,5,2,1,1,0,0,none
0102-0033,FALSE,source_of_water_supply,health_water-source,ammonia,total,ug/l,2,1,0,0,0,0,none
0102-0033,FALSE,source_of_water_supply,health_water-source,magnesium,total,ug/l,5,2,0,0,0,0,none
0102-0033,FALSE,source_of_water_supply,health_water-source,nitrate_nitrite,total,ug/l,2,1,0,0,0,0,none
0102-0033,TRUE,fishing,aquatic_chronic,ammonia,total,ug/l,7,1,0,0,0,4,none
0102-0033,TRUE,fishing,none,dissolved_oxygen,dissolved,mg/l,4,1,2,1,0,0,n_exceedances may not be intiutive for this parameter because there are multiple components to the WQS. n_exceedances may be greater than n_samples_collected if a single sample was marked as an exceedance for multiple components of the WQS.
0102-0033,TRUE,fishing,none,ph,total,ph_units,4,1,0,0,0,0,none
0102-0033,TRUE,source_of_water_supply,aesthetic_water-supply,iron,total,ug/l,6,1,1,1,0,0,none
0102-0033,TRUE,source_of_water_supply,aesthetic_water-supply,manganese,total,ug/l,8,1,0,0,0,0,none
0102-0033,TRUE,source_of_water_supply,health_water-source,ammonia,total,ug/l,7,1,0,0,0,0,none
0102-0033,TRUE,source_of_water_supply,health_water-source,arsenic,total,ug/l,6,1,0,0,0,0,none
0102-0033,TRUE,source_of_water_supply,health_water-source,copper,total,ug/l,4,1,0,0,0,0,none
0102-0033,TRUE,source_of_water_supply,health_water-source,nitrate_nitrite,total,ug/l,7,1,0,0,0,0,none
0102-0033,TRUE,source_of_water_supply,health_water-source,sulfate,total,ug/l,8,1,0,0,0,0,none
0102-0035,FALSE,fishing,aquatic_chronic,ammonia,total,ug/l,9,2,0,0,0,9,none
0102-0039,FALSE,fishing,aquatic_chronic,ammonia,total,ug/l,12,3,0,0,0,12,none
0102-0039,FALSE,secondary_contact_recreation,recreation,phosphorus,total,ug/l,6,3,3,3,0,0,none
0102-0039,FALSE,primary_contact_recreation,recreation,phosphorus,total,ug/l,6,3,3,3,0,0,none
0102-0039,FALSE,source_of_water_supply,aesthetic_water-supply,iron,total,ug/l,10,2,4,2,0,0,none
0102-0039,FALSE,source_of_water_supply,aesthetic_water-supply,manganese,total,ug/l,10,2,5,2,0,0,none
0102-0039,FALSE,source_of_water_supply,health_water-source,ammonia,total,ug/l,12,3,2,2,0,0,none
0102-0039,FALSE,source_of_water_supply,health_water-source,arsenic,total,ug/l,10,3,0,0,0,0,none
0102-0039,FALSE,source_of_water_supply,health_water-source,chloride,total,ug/l,10,2,0,0,0,0,none
0102-0039,FALSE,source_of_water_supply,health_water-source,magnesium,total,ug/l,12,3,0,0,0,0,none
0102-0039,FALSE,source_of_water_supply,health_water-source,nitrate_nitrite,total,ug/l,12,3,0,0,0,0,none
0102-0039,FALSE,source_of_water_supply,health_water-source,sulfate,total,ug/l,10,2,0,0,0,0,none
0102-0039,TRUE,fishing,aquatic_chronic,ammonia,total,ug/l,4,1,0,0,0,4,none
0102-0039,TRUE,fishing,aquatic_chronic,nitrite,total,ug/l,6,1,0,0,0,0,none
0102-0039,TRUE,fishing,none,dissolved_oxygen,dissolved,mg/l,3,1,6,1,0,0,n_exceedances may not be intiutive for this parameter because there are multiple components to the WQS. n_exceedances may be greater than n_samples_collected if a single sample was marked as an exceedance for multiple components of the WQS.
0102-0039,TRUE,fishing,none,ph,total,ph_units,3,1,0,0,0,0,none
0102-0039,TRUE,secondary_contact_recreation,recreation,phosphorus,total,ug/l,3,1,1,1,0,0,none
0102-0039,TRUE,primary_contact_recreation,recreation,phosphorus,total,ug/l,3,1,1,1,0,0,none
0102-0039,TRUE,source_of_water_supply,aesthetic_water-supply,iron,total,ug/l,5,1,3,1,0,0,none
0102-0039,TRUE,source_of_water_supply,aesthetic_water-supply,manganese,total,ug/l,4,1,1,1,0,0,none
0102-0039,TRUE,source_of_water_supply,health_water-source,ammonia,total,ug/l,4,1,0,0,0,0,none
0102-0039,TRUE,source_of_water_supply,health_water-source,arsenic,total,ug/l,5,1,0,0,0,0,none
0102-0039,TRUE,source_of_water_supply,health_water-source,chloride,total,ug/l,5,1,0,0,0,0,none
0102-0039,TRUE,source_of_water_supply,health_water-source,magnesium,total,ug/l,6,1,0,0,0,0,none
0102-0039,TRUE,source_of_water_supply,health_water-source,nitrate,total,ug/l,3,1,0,0,0,0,none
0102-0039,TRUE,source_of_water_supply,health_water-source,nitrate_nitrite,total,ug/l,3,1,0,0,0,0,none
0102-0039,TRUE,source_of_water_supply,health_water-source,nitrite,total,ug/l,6,1,0,0,0,0,none
0102-0039,TRUE,source_of_water_supply,health_water-source,sulfate,total,ug/l,5,1,0,0,0,0,none
0102-0040,FALSE,fishing,aquatic_chronic,ammonia,total,ug/l,10,2,0,0,0,10,none
0102-0040,FALSE,secondary_contact_recreation,recreation,phosphorus,total,ug/l,6,3,3,3,0,0,none
0102-0040,FALSE,primary_contact_recreation,recreation,phosphorus,total,ug/l,6,3,3,3,0,0,none
0102-0040,FALSE,source_of_water_supply,aesthetic_water-supply,iron,total,ug/l,8,1,2,1,0,0,none
0102-0040,FALSE,source_of_water_supply,aesthetic_water-supply,manganese,total,ug/l,8,1,3,1,0,0,none
0102-0040,FALSE,source_of_water_supply,health_water-source,ammonia,total,ug/l,10,2,0,0,0,0,none
0102-0040,FALSE,source_of_water_supply,health_water-source,arsenic,total,ug/l,8,2,0,0,0,0,none
0102-0040,FALSE,source_of_water_supply,health_water-source,chloride,total,ug/l,9,2,0,0,0,0,none
0102-0040,FALSE,source_of_water_supply,health_water-source,magnesium,total,ug/l,11,3,0,0,0,0,none
0102-0040,FALSE,source_of_water_supply,health_water-source,nitrate_nitrite,total,ug/l,11,3,0,0,0,0,none
0102-0040,FALSE,source_of_water_supply,health_water-source,sulfate,total,ug/l,9,2,0,0,0,0,none
0102-0043,TRUE,fishing,aquatic_chronic,nitrite,total,ug/l,1,1,0,0,0,0,none
0102-0043,TRUE,fishing,none,dissolved_oxygen,dissolved,mg/l,1,1,0,0,0,0,n_exceedances may not be intiutive for this parameter because there are multiple components to the WQS. n_exceedances may be greater than n_samples_collected if a single sample was marked as an exceedance for multiple components of the WQS.
0102-0043,TRUE,fishing,none,ph,total,ph_units,1,1,0,0,0,0,none
0103-0010,FALSE,fishing,aquatic_chronic,ammonia,total,ug/l,1,1,0,0,0,1,none
0103-0010,TRUE,fishing,aquatic_chronic,ammonia,total,ug/l,1,1,0,0,0,1,none
0103-0010,TRUE,fishing,aquatic_chronic,nitrite,total,ug/l,1,1,0,0,0,0,none
0103-0010,TRUE,fishing,none,dissolved_oxygen,dissolved,mg/l,1,1,0,0,0,0,n_exceedances may not be intiutive for this parameter because there are multiple components to the WQS. n_exceedances may be greater than n_samples_collected if a single sample was marked as an exceedance for multiple components of the WQS.
0103-0010,TRUE,fishing,none,ph,total,ph_units,1,1,1,1,0,0,none
0103-0016,FALSE,secondary_contact_recreation,recreation,phosphorus,total,ug/l,1,1,1,1,0,0,none
0103-0016,FALSE,primary_contact_recreation,recreation,phosphorus,total,ug/l,1,1,1,1,0,0,none
0103-0016,FALSE,source_of_water_supply,health_water-source,chloride,total,ug/l,1,1,0,0,0,0,none
0103-0016,FALSE,source_of_water_supply,health_water-source,magnesium,total,ug/l,1,1,0,0,0,0,none
0103-0016,FALSE,source_of_water_supply,health_water-source,nitrate_nitrite,total,ug/l,1,1,0,0,0,0,none
0103-0016,FALSE,source_of_water_supply,health_water-source,sulfate,total,ug/l,1,1,0,0,0,0,none
0104-0001,FALSE,fishing,aquatic_chronic,ammonia,total,ug/l,28,5,0,0,0,28,none
0104-0001,FALSE,fishing,aquatic_chronic,nitrite,total,ug/l,1,1,0,0,0,0,none
0104-0001,FALSE,secondary_contact_recreation,recreation,phosphorus,total,ug/l,43,9,1,1,0,0,none
0104-0001,FALSE,primary_contact_recreation,recreation,phosphorus,total,ug/l,43,9,1,1,0,0,none
0104-0001,TRUE,fishing,aquatic_chronic,ammonia,total,ug/l,60,9,0,0,0,60,none
0104-0001,TRUE,secondary_contact_recreation,recreation,phosphorus,total,ug/l,62,8,1,1,0,0,none
0104-0001,TRUE,primary_contact_recreation,recreation,phosphorus,total,ug/l,62,8,1,1,0,0,none
0104-0004,FALSE,fishing,aquatic_chronic,ammonia,total,ug/l,45,6,0,0,0,45,none
0104-0004,FALSE,fishing,aquatic_chronic,nitrite,total,ug/l,16,2,0,0,0,0,none
0104-0004,FALSE,secondary_contact_recreation,recreation,phosphorus,total,ug/l,48,8,8,8,0,0,none
0104-0004,FALSE,primary_contact_recreation,recreation,phosphorus,total,ug/l,48,8,8,8,0,0,none
0104-0004,TRUE,fishing,aquatic_chronic,ammonia,total,ug/l,66,10,0,0,0,66,none
0104-0004,TRUE,secondary_contact_recreation,recreation,phosphorus,total,ug/l,59,9,9,9,0,0,none
0104-0004,TRUE,primary_contact_recreation,recreation,phosphorus,total,ug/l,59,9,9,9,0,0,none
0104-0057,FALSE,fishing,aquatic_chronic,ammonia,total,ug/l,8,1,0,0,0,8,none
0104-0057,FALSE,secondary_contact_recreation,recreation,phosphorus,total,ug/l,5,2,2,2,0,0,none
0104-0057,FALSE,primary_contact_recreation,recreation,phosphorus,total,ug/l,5,2,2,2,0,0,none
0104-0057,FALSE,source_of_water_supply,aesthetic_water-supply,iron,total,ug/l,8,1,5,1,0,0,none
0104-0057,FALSE,source_of_water_supply,aesthetic_water-supply,manganese,total,ug/l,8,1,4,1,0,0,none
0104-0057,FALSE,source_of_water_supply,health_water-source,ammonia,total,ug/l,8,1,3,1,0,0,none
0104-0057,FALSE,source_of_water_supply,health_water-source,arsenic,total,ug/l,2,1,0,0,0,0,none
0104-0057,FALSE,source_of_water_supply,health_water-source,chloride,total,ug/l,10,2,0,0,0,0,none
0104-0057,FALSE,source_of_water_supply,health_water-source,magnesium,total,ug/l,10,2,0,0,0,0,none
0104-0057,FALSE,source_of_water_supply,health_water-source,nitrate_nitrite,total,ug/l,10,2,0,0,0,0,none
0104-0057,FALSE,source_of_water_supply,health_water-source,sulfate,total,ug/l,10,2,0,0,0,0,none
0104-0057,TRUE,fishing,aquatic_chronic,ammonia,total,ug/l,1,1,0,0,0,1,none
0104-0057,TRUE,fishing,aquatic_chronic,nitrite,total,ug/l,2,1,0,0,0,0,none
0104-0057,TRUE,fishing,none,dissolved_oxygen,dissolved,mg/l,1,1,2,1,0,0,n_exceedances may not be intiutive for this parameter because there are multiple components to the WQS. n_exceedances may be greater than n_samples_collected if a single sample was marked as an exceedance for multiple components of the WQS.
0104-0057,TRUE,fishing,none,ph,total,ph_units,1,1,0,0,0,0,none
0104-0057,TRUE,secondary_contact_recreation,recreation,phosphorus,total,ug/l,1,1,1,1,0,0,none
0104-0057,TRUE,primary_contact_recreation,recreation,phosphorus,total,ug/l,1,1,1,1,0,0,none
0104-0057,TRUE,source_of_water_supply,aesthetic_water-supply,iron,total,ug/l,2,1,0,0,0,0,none
0104-0057,TRUE,source_of_water_supply,aesthetic_water-supply,manganese,total,ug/l,2,1,0,0,0,0,none
0104-0057,TRUE,source_of_water_supply,health_water-source,ammonia,total,ug/l,1,1,0,0,0,0,none
0104-0057,TRUE,source_of_water_supply,health_water-source,arsenic,total,ug/l,2,1,0,0,0,0,none
0104-0057,TRUE,source_of_water_supply,health_water-source,chloride,total,ug/l,2,1,0,0,0,0,none
