"","LAKE_HISTORY_ID","waterbody","LOCATION_PWL_ID","PWS.ID","PWS.Name","PWS.Type","Primary.Source","Counties.Served","Cities.Served","PopulationServed.Count","Number.of.Facilities","Owner.Type"
"1","0300ONT0000","Henderson Bay","0303-0022","NY2701047","MCWA","Community water system","Surface water","Monroe, Orleans","BATAVIA (T), BRIGHTON (T), CHILI (T), CHURCHVILLE (V), CLARKSON (T), EAST ROCHESTER (X), FAIRPORT (V), GATES (T), GREECE (T), HAMLIN (T), HENRIETTA (T), HONEOYE FALLS (V), IRONDEQUOIT (T), KENDALL (T), MENDON (T), OAKFIELD (T), OAKFIELD (V), OGDEN (T), PARMA (T), PENFIELD (T), PERINTON (T), PITTSFORD (T), PITTSFORD (V), RIGA (T), ROCHESTER (C), RUSH (T), SCOTTSVILLE (V), SPENCERPORT (V), SWEDEN (T), VICTOR (T), VICTOR (V), WEBSTER (T), WHEATLAND (T)","496753","36","Public/Private"
"2","0300ONT0000","Henderson Bay","0303-0022","NY3304336","OCWA","Community water system","Surface water","Onondaga","SYRACUSE (C)","300000","104","Public/Private"
"3","1301FIR0150A","First, Second and Third Reservoirs","1301-0128","NY4303673","SUEZ WATER NEW YORK","Community water system","Surface water","Rockland","CLARKSTOWN (T)","270000","211","Private"
"4","1301ALC0185","Alcove Reservoir","1301-0232","NY0100189","ALBANY CITY","Community water system","Surface water","Albany","ALBANY (C)","101082","12","Local government"
"5","1302IND0042B","Indian Brook Reservoir","1302-0067","NY5903451","OSSINING WATER DEPARTMENT","Community water system","Surface water","Westchester","OSSINING (T)","30000","14","Local government"
"6","0300ONT0000","Henderson Bay","0303-0022","NY3704361","OSWEGO CITY","Community water system","Surface water","Oswego","OSWEGO (C)","29400","15","Local government"
"7","1101LOU0035","Loughberry Lake","1101-0068","NY4500168","SARATOGA SPRINGS CITY","Community water system","Surface water","Saratoga","SARATOGA SPRNGS (C)","26525","30","Local government"
"8","1307COO0839","Cooper Lake","1307-0022","NY5503374","KINGSTON (CITY) WATER DISTRICT","Community water system","Surface water","Ulster","KINGSTON (C)","24000","13","Local government"
"9","0601LOW0295","Oneonta Lower Reservoir","0601-0097","NY3800154","ONEONTA CITY","Community water system","Surface water","Otsego","ONEONTA (C), ONEONTA (T)","15779","17","Local government"
"10","0300ONT0000","Henderson Bay","0303-0022","NY4404394","OGDENSBURG CITY","Community water system","Surface water","St. Lawrence","OGDENSBURG (C)","11128","20","Local government"
"11","0300ONT0000","Henderson Bay","0303-0022","NY5801233","ONTARIO TOWN BENEFIT AREA #1","Community water system","Surface water","Wayne","ONTARIO (T)","10136","23","Local government"
"12","1303ALE0222D","Arthurs, Sphagnum, Tamarack Ponds and...","1301-0181","NY3503526","CORNWALL-ON-HUDSON","Community water system","Surface water","Orange","CORNWALL-ON-HUDSON (V)","9700","11","Local government"
"13","1309POT0925A","Potuck (Potic) Reservoir","1309-0024","NY1900026","CATSKILL VILLAGE","Community water system","Surface water","Greene","CATSKILL (T), CATSKILL (V)","8000","7","Local government"
"14","1301LUS0204","Lusk Reservoir","1301-0174","NY3511887","U.S.M.A. - LUSK SYSTEM","Community water system","Surface water","Orange","HIGHLANDS (T)","8000","5","Federal government"
"15","0300ONT0000","Henderson Bay","0303-0022","NY5801258","WILLIAMSON TOWN WD","Community water system","Surface water","Wayne","WILLIAMSON (T)","6600","22","Local government"
"16","0300ONT0000","Henderson Bay","0303-0022","NY3600596","ALBION VILLAGE","Community water system","Surface water","Orleans","ALBION (V)","6000","10","Local government"
"17","1101MEC1083","Mechanicville Reservoir","1101-0059","NY4500166","MECHANICVILLE CITY","Community water system","Surface water","Saratoga","MECHANICVILLE (C)","5200","24","Local government"
"18","1301COX0152B","Coxsackie Reservoir","1301-0227","NY1900027","COXSACKIE VILLAGE","Community water system","Surface water","Greene","COXSACKIE (T), COXSACKIE (V), NEW BALTIMORE (T)","4010","9","Local government"
"19","1403LIL0311","Lily Pond","1403-0067","NY5203329","LIBERTY VILLAGE","Community water system","Surface water","Sullivan","LIBERTY (V)","3900","17","Local government"
"20","1005DOL0424","Dolph/Beaver Pond","1005-0038","NY5704191","GREAT MEADOW/WASHINGTON CORR. FACILITIES","Community water system","Surface water","Washington","FORT ANN (T)","3802","12","State government"
"21","1301QUE0184A","Queensboro Lk, Turkey Hill Pd, others","1301-0056","NY4317681","BEAR MOUNTAIN WATER SUPPLY","Community water system","Surface water","Orange, Rockland","HIGHLANDS (T), STONY POINT (T), WOODBURY (T)","3564","14","State government"
