seg_id,waterbody,description,win,huc_10,basin_name,subbasin_name,region,county_name,class,water_type,waterbody_size,waterbody_size_units,segment_assessment,segment_ir_number,use,use_assessment,use_ir_number,parameter,listing_agency
0101-0001,Cayuga Creek and minor tribs,entire stream and selected tribs,Ont 158- 8,0412010406,Lake Erie-Niagara River,Niagara River Main Stem,9,Niagara,c,flow,21.6,Miles,IR5_impaired,5,shellfishing,not-applicable,not-applicable,not-applicable,NYSDEC
0101-0002,Gill Creek and tribs,entire stream and tribs,Ont 158- 6,0412010406,Lake Erie-Niagara River,Niagara River Main Stem,9,Niagara,c,flow,12.3,Miles,IR5_impaired,5,fishing,IR5_impaired_confirmed,5,bap,NYSDEC
0101-0004,Bergholtz Creek and tribs,entire stream and tribs,Ont 158- 8-1,0412010406,Lake Erie-Niagara River,Niagara River Main Stem,9,Niagara,c,flow,33.1,Miles,IR5_impaired,5,shellfishing,not-applicable,not-applicable,not-applicable,NYSDEC
0101-0005,Two Mile Creek and tribs,entire stream and tribs,Ont 158-13,0412010406,Lake Erie-Niagara River,Niagara River Main Stem,9,Erie,b,flow,7.1,Miles,IR5_impaired,5,secondary_contact_recreation,IR5_impaired_confirmed,5,dissolved_oxygen; fecal_coliforms; oil_grease,NYSDEC
0101-0006,"Niagara River, Upper, Main Stem",from Niagara Falls to Lake Erie,Ont 158 (portion 2),0412010406,Lake Erie-Niagara River,Niagara River Main Stem,9,Niagara,a-special,flow,24.8,Miles,IR5_impaired,5,primary_contact_recreation,IR3_impaired_unconfirmed,3,cause_unknown; polychlorinated_biphenyls; polycyclic_aromatic_hydrocarbons,NYSDEC
0101-0007,"Smoke Creek, Lower, and minor tribs","stream and selected tribs, fr mouth to Webster Corners",Ont 158..E- 2,0412010304,Lake Erie-Niagara River,Niagara River Main Stem,9,Erie,c,flow,7.2,Miles,IR3_unassessed,3,fishing,IR3_unassessed,3,No_Data,NYSDEC
0101-0011,Grand Island (all tribs to Niagara R),total length of all Grand Island tribs to Niagara River,Ont 158 G.I.-1 thru 6,0412010406,Lake Erie-Niagara River,Niagara River Main Stem,9,Niagara,b,flow,53.7,Miles,IR3_needs-verification,3,fishing,IR3_stressed_unconfirmed,3,dissolved_oxygen; ph,NYSDEC
0101-0023,"Scajaquada Creek, Lower, and tribs","stream and tribs, from mouth to Main Street in Buffalo",Ont 158-15,0412010406,Lake Erie-Niagara River,Niagara River Main Stem,9,Erie,b,flow,0.3,Miles,IR5_impaired,5,shellfishing,not-applicable,not-applicable,not-applicable,NYSDEC
0101-0025,Black Rock Canal,entire canal,Ont 158 (portion 4),0412010406,Lake Erie-Niagara River,Niagara River Main Stem,9,Erie,c,flow,2.2,Miles,IR5_impaired,5,source_of_water_supply,not-applicable,not-applicable,not-applicable,NYSDEC
0101-0026,Delaware Park Pond,entire pond,Ont 158-15-P25,0412010406,Lake Erie-Niagara River,Niagara River Main Stem,9,Erie,b,pond,1.3,Acres,IR5_impaired,5,secondary_contact_recreation,IR5_impaired_confirmed,5,phosphorus; total_pcbs,NYSDEC
0101-0027,"Niagara River, Lower, Main Stem",from Lake Ontario to Niagara Falls,Ont 158 (portion 1),0412010406,Lake Erie-Niagara River,Niagara River Main Stem,9,Niagara,a-special,flow,12,Miles,IR5_impaired,5,source_of_water_supply,IR5_impaired_confirmed,5,iron; phenolic_compounds,NYSDEC
0101-0028,Chippewa (West) Channel,entire channel (in NYS),Ont 158 (portion 3),0412010406,Lake Erie-Niagara River,Niagara River Main Stem,9,Niagara,a-special,flow,12.8,Miles,IR5_impaired,5,fishing,IR5_impaired_confirmed,5,total_pcbs,NYSDEC
0101-0029,Minor Tribs to Niagara River,"total length of all tribs, from mouth to Niagara Falls",Ont 158- 1 thru 5,0412010406,Lake Erie-Niagara River,Niagara River Main Stem,9,Niagara,c,flow,9.9,Miles,IR3_needs-verification,3,primary_contact_recreation,not-applicable,not-applicable,not-applicable,NYSDEC
0101-0030,Hyde Park Lake,entire lake,Ont 158- 6-P1a,0412010406,Lake Erie-Niagara River,Niagara River Main Stem,9,Niagara,b,pond,28.1,Acres,IR5_impaired,5,secondary_contact_recreation,IR5_impaired_confirmed,5,phosphorus,NYSDEC
0101-0031,Minor Tribs to Niagara River,"total length of selected tribs, fr Niag.Falls to L.Erie",Ont 158- 7 thru 11,0412010406,Lake Erie-Niagara River,Niagara River Main Stem,9,Niagara,c,flow,2.5,Miles,IR3_unassessed,3,source_of_water_supply,not-applicable,not-applicable,not-applicable,NYSDEC
0101-0032,unnamed trib to Niagara River,entire stream and tribs,Ont 158-14,0412010406,Lake Erie-Niagara River,Niagara River Main Stem,9,Erie,b,flow,3,Miles,IR3_unassessed,3,source_of_water_supply,not-applicable,not-applicable,not-applicable,NYSDEC
0101-0033,"Scajaquada Creek, Middle, and tribs","stream and tribs, from Main Street to Cheektowaga",Ont 158-15,0412010406,Lake Erie-Niagara River,Niagara River Main Stem,9,Erie,c,flow,8.3,Miles,IR5_impaired,5,primary_contact_recreation,not-applicable,not-applicable,not-applicable,NYSDEC
0101-0034,"Scajaquada Creek, Upper, and tribs","stream and tribs, above Cheektowaga",Ont 158-15,0412010406,Lake Erie-Niagara River,Niagara River Main Stem,9,Erie,b,flow,15.1,Miles,IR5_impaired,5,secondary_contact_recreation,IR5_impaired_confirmed,5,dissolved_oxygen; fecal_coliforms; phosphorus,NYSDEC
0101-0035,"Smoke Creek, Upper, and tribs","stream and tribs, above Webster Corners",Ont 158..E- 2,0412010304,Lake Erie-Niagara River,Niagara River Main Stem,9,Erie,c,flow,25.5,Miles,IR3_needs-verification,3,source_of_water_supply,not-applicable,not-applicable,not-applicable,NYSDEC
0101-0036,"South Branch Smoke Cr, Lower, and tribs","stream and tribs, from mouth to Orchard Park",Ont 158..E- 2- 1,0412010304,Lake Erie-Niagara River,Niagara River Main Stem,9,Erie,c,flow,27.2,Miles,IR5_impaired,5,fish_consumption,IR3_impaired_unconfirmed,3,silt_sediment,NYSDEC
0101-0037,"South Branch Smoke Cr, Upper, and tribs","stream and tribs, above Orchard Park",Ont 158..E- 2- 1,0412010304,Lake Erie-Niagara River,Niagara River Main Stem,9,Erie,b,flow,4.7,Miles,IR3_unassessed,3,shellfishing,not-applicable,not-applicable,not-applicable,NYSDEC
0101-0038,Green Lake,entire lake,Ont 158..E- 2- 1-P81b,0412010304,Lake Erie-Niagara River,Niagara River Main Stem,9,Erie,b,pond,18.6,Acres,IR5_impaired,5,primary_contact_recreation,IR5_impaired_confirmed,5,phosphorus,NYSDEC
0102-0001,"Little Tonawanda Creek, Lower, and tribs","stream and tribs, from mouth to Linden",Ont 158-12-32,0412010401,Lake Erie-Niagara River,Tonawanda Creek,8,Genesee,a,flow,52.8,Miles,IR3_needs-verification,3,source_of_water_supply,IR3_unassessed,3,No_Data,NYSDEC
0102-0002,"Tonawanda Creek, Middle, Main Stem",from East Pembroke to Batavia,Ont 158-12 (portion 3),0412010401,Lake Erie-Niagara River,Tonawanda Creek,8,Genesee,c,flow,11.7,Miles,IR5_impaired,5,source_of_water_supply,not-applicable,not-applicable,not-applicable,NYSDEC
0102-0003,"Tonawanda Creek, Upper, and minor tribs","stream and selected tribs, above Batavia",Ont 158-12 (portion 4),0412010401,Lake Erie-Niagara River,Tonawanda Creek,8,Genesee,a,flow,255.1,Miles,IR3_needs-verification,3,shellfishing,not-applicable,not-applicable,not-applicable,NYSDEC
0102-0004,"Ransom Creek, Lower, and tribs","stream and tribs, from mouth to Got Creek",Ont 158-12- 6,0412010405,Lake Erie-Niagara River,Tonawanda Creek,9,Erie,c,flow,49.5,Miles,IR5_impaired,5,fishing,IR5_impaired_confirmed,5,dissolved_oxygen,NYSDEC
0102-0006,"Tonawanda Creek, Middle, Main Stem",from NYS Barge Canal to East Pembroke,Ont 158-12 (portion 2),0412010403,Lake Erie-Niagara River,Tonawanda Creek,9,Niagara,b,flow,49.3,Miles,IR5_impaired,5,source_of_water_supply,not-applicable,not-applicable,not-applicable,NYSDEC
0102-0012,Ledge Creek and minor tribs,entire stream and selected tribs,Ont 158-12-11,0412010402,Lake Erie-Niagara River,Tonawanda Creek,9,Erie,c(t),flow,28.9,Miles,IR3_needs-verification,3,fishing,IR3_fully-supported_unconfirmed,3,dissolved_oxygen; ph,NYSDEC
0102-0018,"Ellicott Creek, Lower, and tribs","stream and tribs, from mouth to Alden",Ont 158-12- 1,0412010404,Lake Erie-Niagara River,Tonawanda Creek,9,Erie,b,flow,112,Miles,IR5_impaired,5,fishing,IR5_impaired_confirmed,5,phosphorus; silt_sediment,NYSDEC
0102-0022,"Tonawanda Creek, Lower, Main Stem",from mouth to NYS Barge Canal in Pendleton,Ont 158-12 (portion 1),0412010405,Lake Erie-Niagara River,Tonawanda Creek,9,Niagara,c,flow,11.9,Miles,IR5_impaired,5,fishing,IR5_impaired_confirmed,5,total_pcbs,NYSDEC
0102-0023,Crow Creek and tribs,entire stream and tribs,Ont 158-12-46,0412010401,Lake Erie-Niagara River,Tonawanda Creek,9,Wyoming,a,flow,20.3,Miles,IR3_needs-verification,3,fishing,IR3_stressed_unconfirmed,3,ph,NYSDEC
0102-0024,"Ellicott Creek, Upper, and tribs","stream and tribs, above Alden",Ont 158-12- 1,0412010404,Lake Erie-Niagara River,Tonawanda Creek,9,Erie,c,flow,112.1,Miles,IR3_needs-verification,3,source_of_water_supply,not-applicable,not-applicable,not-applicable,NYSDEC
0102-0025,Minor Tribs to Lower Tonawanda Creek,"total length of selected tribs, fr mouth to Barge Canal",Ont 158-12- 2 thru 5 (selected),0412010405,Lake Erie-Niagara River,Tonawanda Creek,9,Niagara,c,flow,16.4,Miles,IR3_needs-verification,3,primary_contact_recreation,not-applicable,not-applicable,not-applicable,NYSDEC
0102-0026,Bull Creek and tribs,entire stream and tribs,Ont 158-12- 3,0412010405,Lake Erie-Niagara River,Tonawanda Creek,9,Niagara,c,flow,48.6,Miles,IR5_impaired,5,primary_contact_recreation,not-applicable,not-applicable,not-applicable,NYSDEC
0102-0027,"Ransom Creek, Upper, and tribs","stream and tribs, above/including Got Creek",Ont 158-12- 6,0412010405,Lake Erie-Niagara River,Tonawanda Creek,9,Erie,c(t),flow,44.2,Miles,IR5_impaired,5,source_of_water_supply,not-applicable,not-applicable,not-applicable,NYSDEC
0102-0028,Minor Tribs to Tonawanda Creek,"total length of selected tribs, from canal to Batavia",Ont 158-12- 7 thru 31 (selected),0412010403,Lake Erie-Niagara River,Tonawanda Creek,9,Niagara,c,flow,175.2,Miles,IR3_unassessed,3,source_of_water_supply,not-applicable,not-applicable,not-applicable,NYSDEC
0102-0029,Mud Creek and tribs,entire stream and tribs,Ont 158-12- 8,0412010403,Lake Erie-Niagara River,Tonawanda Creek,9,Niagara,c,flow,113.5,Miles,IR3_unassessed,3,source_of_water_supply,not-applicable,not-applicable,not-applicable,NYSDEC
0102-0030,Beeman Creek and tribs,entire stream and tribs,Ont 158-12- 9,0412010403,Lake Erie-Niagara River,Tonawanda Creek,9,Erie,c,flow,43.7,Miles,IR5_impaired,5,fishing,IR5_impaired_confirmed,5,dissolved_oxygen; fecal_coliforms; phosphorus,NYSDEC
0102-0031,"Murder Creek, Lower, and tribs","stream and tribs, from mouth to Corfu",Ont 158-12-11-1,0412010402,Lake Erie-Niagara River,Tonawanda Creek,9,Erie,c,flow,75.5,Miles,IR5_impaired,5,secondary_contact_recreation,IR5_impaired_confirmed,5,fecal_coliforms,NYSDEC
