seg_id,waterbody,huc_10,basin_name,class,water_type,segment_assessment,use,use_assessment,parameter,grandfathered_from_listings,data_supported,stayCALM_param_eval
0101-0026,Delaware Park Pond,0412010406,Lake Erie-Niagara River,b,pond,IR5_impaired,epa_appended_listing,not-applicable,not-applicable,no,yes,not-applicable
0101-0026,Delaware Park Pond,0412010406,Lake Erie-Niagara River,b,pond,IR5_impaired,fishing,IR5_impaired_confirmed,pcbs; phosphorus,yes,no,unassessed
0101-0026,Delaware Park Pond,0412010406,Lake Erie-Niagara River,b,pond,IR5_impaired,primary_contact_recreation,IR5_impaired_confirmed,pcbs; phosphorus,yes,no,unassessed
0101-0026,Delaware Park Pond,0412010406,Lake Erie-Niagara River,b,pond,IR5_impaired,secondary_contact_recreation,IR5_impaired_confirmed,pcbs; phosphorus,yes,no,unassessed
0101-0026,Delaware Park Pond,0412010406,Lake Erie-Niagara River,b,pond,IR5_impaired,shellfishing,not-applicable,not-applicable,no,yes,not-applicable
0101-0026,Delaware Park Pond,0412010406,Lake Erie-Niagara River,b,pond,IR5_impaired,source_of_water_supply,not-applicable,not-applicable,no,yes,not-applicable
0101-0030,Hyde Park Lake,0412010406,Lake Erie-Niagara River,b,pond,IR5_impaired,epa_appended_listing,not-applicable,not-applicable,no,yes,not-applicable
0101-0030,Hyde Park Lake,0412010406,Lake Erie-Niagara River,b,pond,IR5_impaired,fishing,IR3_unassessed,No_Data,no,yes,unassessed
0101-0030,Hyde Park Lake,0412010406,Lake Erie-Niagara River,b,pond,IR5_impaired,primary_contact_recreation,IR5_impaired_confirmed,phosphorus,yes,no,unassessed
0101-0030,Hyde Park Lake,0412010406,Lake Erie-Niagara River,b,pond,IR5_impaired,secondary_contact_recreation,IR5_impaired_confirmed,phosphorus,yes,no,unassessed
0101-0030,Hyde Park Lake,0412010406,Lake Erie-Niagara River,b,pond,IR5_impaired,shellfishing,not-applicable,not-applicable,no,yes,not-applicable
