LAKE_HISTORY_ID,LAKE_WATERBODY_NAME,DEC_REGION,Lake,LOCATION_PWL_ID,DWSP2_plan,emergency_supply,PWS.ID,LOCATION_HISTORY_ID,LOCATION_Y_COORDINATES,LOCATION_X_COORDINATES
0105UWB0166M,UNNAMED WATER,9,0105UWB0166M_Unnamed Water,,,,NY0600372,0105UWB0166M_DH,42.2514,-79.693
0404DAN0092F,DANSVILLE STORAGE RESERVO,8,0404DAN0092F_Dansville Storage Reservo,,,,NY2501015,0404DAN0092F_DH,42.56906,-77.64191
0705UWB0340A,SIX MILE CREEK RESERVIOR,7,0705UWB0340A_Six Mile Creek Reservior,,Y,,NY5404416,0705UWB0340A_DH,42.42404,-76.47456
1003PAT0027,PATTERSON RESERVOIR,5,1003PAT0027_Patterson Reservoir,1003-0114,Y,,,1003PAT0027_DH,44.71304,-73.5972
1005UWB5349,UNNAMED WATER,5,1005UWB5349_Unnamed Water,,,,,1005UWB5349_DH,43.31652,-73.6802
1101NEW0099C,NEW RESERVOIR,5,1101NEW0099C_New Reservoir,,,Y,,1101NEW0099C_DH,43.2663,-73.6128
1104CAM0152,CAMERON RESERVOIR,5,1104CAM0152_Cameron Reservoir,1104-0125,,,NY1700018,1104CAM0152_DH,43.1607,-74.2697
1104GLO0150A,GLOVERSVILLE RESERVOIR,5,1104GLO0150A_Gloversville Reservoir,,,,,1104GLO0150A_DH,43.13524,-74.28432
1104POR0152E,PORT RESERVOIR,5,1104POR0152E_Port Reservoir,1104-0127,,,,1104POR0152E_DH,43.0876,-74.3558
1201FOR0681A,FORT PLAIN RESERVOIR,5,1201FOR0681A_Fort Plain Reservoir,,,,,1201FOR0681A_DH,43.019,-74.576
1201SPRXXX1,SPRITE CREEK RESERVOIR ,5,1201SPRXXX1_Sprite Creek Reservoir ,,,,NY2800137,1201SPRXXX1_DH,43.04076,-74.49516
1201UWB0706B,UNNAMED WATER,6,1201UWB0706B_Unnamed Water,,,,,1201UWB0706B_DH,43.1613,-74.8411
1201UWB5293,UNNAMED WATER,5,1201UWB5293_Unnamed Water,,,Y,,1201UWB5293_DH,43.0443,-74.4833
1301BRO0155,BRONCKS LAKE,4,1301BRO0155_Broncks Lake,1301-0229,,Y,NY1902012,1301BRO0155_DH,42.348,-73.8705
1301CAM0163A,CAMP FIELD RESERVOIR,3,1301CAM0163A_Camp Field Reservoir,,Y,,NY5903452,1301CAM0163A_DH,41.3035,-73.9047
1301FER0028C,FERGUSONS LAKE,3,1301FER0028C_Fergusons Lake,,,,NY5903472,1301FER0028C_DH,41.0993,-73.8264
1301UWB0215B,UNNAMED WATER,3,1301UWB0215B_Unnamed Water,,,,NY3903652,1301UWB0215B_DH,41.44028,-73.9323
1301UWB0413,UNNAMED WATER,3,1301UWB0413_Unnamed Water,,,Y,NY5503377,1301UWB0413_DH,41.61823,-74.00726
1301UWB0438P,BEREAN PARK POND,3,1301UWB0438P_Berean Park Pond,,Y,,NY5503368,1301UWB0438P_DH,41.7199,-73.97953
1306UWB0683,UNNAMED WATER,3,1306UWB0683_Unnamed Water,,,Y,NY3503561,1306UWB0683_DH,41.2341,-74.3621
1306UWB6000,UNNAMED WATER,3,1306UWB6000_Unnamed Water,,,,NY5503383,1306UWB6000_DH,41.83928,-74.07863
1306UWB6070,UNNAMED WATER,3,1306UWB6070_Unnamed Water,,Y,,NY5503379,1306UWB6070_DH,41.7704,-74.1251
1307KIN0837A,KINGSTON RS NO 4,3,1307KIN0837A_Kingston Rs No 4,1307-0021,,Y,,1307KIN0837A_DH,42.011,-74.0731
1404BLA0462A,BLAZER POND,4,1404BLA0462A_Blazer Pond,,,Y,NY1200272,1404BLA0462A_DH,42.4333,-74.5991
1601UWB1117A,UNNAMED WATER,3,1601UWB1117A_Unnamed Water,,,,NY1316987,1601UWB1117A_DH,41.6345,-73.5559
