lat,long,LAKE_HISTORY_ID,LCI_ID,trip_status
42.2514,-79.693,0105UWB0166M_DH,0105UWB0166M_Unnamed Water,confirmed
43.31652,-73.6802,1005UWB5349_DH,1005UWB5349_Unnamed Water,confirmed
43.2663,-73.6128,1101NEW0099C_DH,1101NEW0099C_New Reservoir,confirmed
43.019,-74.576,1201FOR0681A_DH,1201FOR0681A_Fort Plain Reservoir,tentative
43.04076,-74.49516,1201SPRXXX1_DH,1201SPRXXX1_Sprite Creek Reservoir ,confirmed
42.348,-73.8705,1301BRO0155_DH,1301BRO0155_Broncks Lake,confirmed
41.3035,-73.9047,1301CAM0163A_DH,1301CAM0163A_Camp Field Reservoir,PWS-1
41.44028,-73.9323,1301UWB0215B_DH,1301UWB0215B_Unnamed Water,PWS-1
41.61823,-74.00726,1301UWB0413_DH,1301UWB0413_Unnamed Water,confirmed
41.7199,-73.97953,1301UWB0438P_DH,1301UWB0438P_Berean Park Pond,PWS-1
41.724301,-73.979763,1301UWB0438D_DH,1301UWB0438D_UNNAMED WATER,PWS-1
41.2341,-74.3621,1306UWB0683_DH,1306UWB0683_Unnamed Water,PWS-1
41.83928,-74.07863,1306UWB6000_DH,1306UWB6000_Unnamed Water,confirmed
41.7704,-74.1251,1306UWB6070_DH,1306UWB6070_Unnamed Water,PWS-1
42.011,-74.0731,1307KIN0837A_DH,1307KIN0837A_Kingston Rs No 4,confirmed
42.4333,-74.5991,1404BLA0462A_DH,1404BLA0462A_Blazer Pond,tentative
41.6345,-73.5559,1601UWB1117A_DH,1601UWB1117A_Unnamed Water,tentative
44.71251,-73.59005,1003UWB0026_DH,1003UWB0026_PATTERSON LOWER RESERVOIR,confirmed
41.097512,-73.825778,1301UWB0028D_DH,1301UWB0028D_UNNAMED WATER,tentative
