LAKE_HISTORY_ID,LOCATION_HISTORY_ID,LAKE_WATERBODY_NAME,LAKE_FIN,SIDWIS_ID,LOCATION_Y_COORDINATE,LOCATION_X_COORDINATE,LAKE_WATERBODY_TYPE,LAKE_BEACH_PRESENCE,MUNICIPALITY,DEC_REGION,LOCATION_COUNTY,DWSP2 Plan,Active,PWS_FILTER,
1201UWB5293,1201UWB5293_C,UNNAMED WATER,H-240-P5293,NY2800137,43.0443,-74.483299,LAKE,NO,Johnstown,5,Fulton,,Y,Emergency backup system,
0105UWB0166M,0105UWB0166M_C,UNNAMED WATER,E-P166M,NY0600372,42.2514,-79.693001,LAKE,NO,Ripley,9,Chautauqua,,Y,,
1005UWB5349,1005UWB5349_C,UNNAMED WATER,C-134-4-19-P5349,,43.316002,-73.687302,LAKE,NO,Queensbury,5,Warren,,Y,,
0302MENXXX1,0302MENXXX1_C,MENDON RESERVOIR,,NY2701047,42.9514,-77.4889,OTHER,No,Mendon,8,Monroe,,Y,Concrete lined storage pool,
0302RESXXX1,0302RESXXX1_C,11MG RESERVOIR ,,NY5822366,43.2375,-76.86784,LAKE,No,Huron,8,Wayne,,,Transient non-community,"Non community, NTNC"
1404TRA5563,1404TRA5563_C,TRAVIS POND,D-71-P453-2-P461-2-P5563,,42.431801,-74.605797,LAKE,NO,Stanford,4,Schoharie,,Y,Emergency backup system,
0302UWB5258,0302UWB5258_C,UNNAMED WATER,ONT-P5258,,43.053799,-77.525398,LAKE,NO,Pittsford,8,Monroe,,,Concrete lined storage pool,
1301UWB0215B,1301UWB0215B_C,UNNAMED WATER,H-83-P215B,NY3903652,41.440601,-73.932999,LAKE,NO,Philipstown,3,Putnam,,Y,,
0404DAN0092F,0404DAN0092F_C,DANSVILLE STORAGE RESERVO,ONT-117-66-22-1-P92F,NY2501015,42.569801,-77.6436,LAKE,NO,Dansville,8,Steuben,,Y,,
1301UWB0438P,1301UWB0438P_C,BEREAN PARK POND,H-116-1-2A-P438P,NY5503368,41.718102,-73.980202,LAKE,YES,Lloyd,3,Ulster,Y,Y,,
1201UWB0706B,1201UWB0706B_C,UNNAMED WATER,H-240-P706B,NY2102308,43.161301,-74.841103,LAKE,NO,Salisbury,6,Herkimer,,Y,,this is for the one below :)
0901STL5150,0901STL5150_C,LAKE ST LAWRENCE,SL-P5150,NY4404390,44.880199,-75.179199,LAKE,NO,Waddington,,St Lawrence,,N,Not a PWS,
1301CAM0163A,1301CAM0163A_C,CAMP FIELD RESERVOIR,H-55-P163A,NY5903452,41.303501,-73.904701,LAKE,NO,Peekskill,3,Westchester,Y,Y,,
0705UWB0340A,0705UWB0340A_C,SIX MILE CREEK RESERVIOR,ONT-66-12-P296-75-5-P340A,NY5404416,42.423599,-76.473099,LAKE,NO,Ithaca,7,Tompkins,Y,Y,,
1201FOR0681A,1201FOR0681A_C,FORT PLAIN RESERVOIR,H-240-127-13-P681A,NY2800139,43.019001,-74.575996,LAKE,NO,Ephratah,5,Fulton,,Y,,
1301FER0028C,1301FER0028C_C,FERGUSONS LAKE,H-20-2-P28C,NY5903472,41.0993,-73.826401,LAKE,NO,Mount Pleasant,3,Westchester,,Y,,
1101NEW0099C,1101NEW0099C_C,NEW RESERVOIR,H-320-3-P99C,NY5700119,43.2663,-73.612801,LAKE,NO,Moreau,5,Saratoga,,Y,Emergency backup system,
1104GLO0150A,1104GLO0150A_C,GLOVERSVILLE RESERVOIR,H-369-P127-33-1-P150A,NY1700018,43.135399,-74.284103,LAKE,NO,Mayfield,5,Fulton,,Y,,
1201SPRXXX1,1201SPRXXX1_C,SPRITE CREEK RESERVOIR ,,NY2800137,43.040593,-74.494939,LAKE,No,Johnstown,5,Fulton,,Y,,
1301UWB5426,1301UWB5426_C,UNNAMED WATER,H-P5426,,41.3037,-73.905998,LAKE,NO,Peekskill,3,Westchester,Y,Y,No intake,
1309UWB6509,1309UWB6509_C,UNNAMED WATER,H-P6509,NY1904281,42.3731,-74.005699,LAKE,NO,Greenville,4,Greene,,,Transient non-community,transient non community
1306UWB6070,1306UWB6070_C,UNNAMED WATER,H-139-13-11-4-1-P6070,NY5503379,41.770401,-74.125099,LAKE,NO,New Paltz,3,Ulster,Y,Y,,
1203HER0798F,1203HER0798F_C,HERKIMER RESERVOIR,H-240-180-55-P798F,NY2102306,43.262901,-75.093697,LAKE,NO,Herkimer,6,Herkimer,,Maybe,Not active,
1104UWB0134D,1104UWB0134D_C,UNNAMED WATER,H-369-P127-21-P134D,NY2800136,43.129902,-74.081497,LAKE,NO,Providence,5,Saratoga,,Y,,
1306UWB6000,1306UWB6000_C,UNNAMED WATER,H-P6000,NY5503383,41.839001,-74.078598,LAKE,NO,Rosendale,3,Ulster,,Y,,
1404BLA0462A,1404BLA0462A_C,BLAZER POND,D-71-P453-2-P461-2-P462A,NY1200272,42.4333,-74.599098,LAKE,NO,Jefferson,4,Schoharie,,,Emergency backup system,
1601UWB1117A,1601UWB1117A_C,UNNAMED WATER,CT-15-4-6-P1117A,NY1316987,41.634499,-73.555901,LAKE,NO,Dover,3,Dutchess,,,,Olivet Management LLC is a community type
