"LAKE_HISTORY_ID","score","exceedance_rate","med_multiparameter_prop","rank_multiparameter","parameter","excursion_parameters","n_years_10yr","n_samples_10yr","LOCATION_PWL_ID"
"1303WAL0257",12.04,1,12.04,2,"chloride","chloride, fluoride",0,0,"1303-0004"
"1003USA0114",6.06666666666667,1,6.06666666666667,3,"iron","iron, manganese",0,0,"1003-0048"
"1403LIL0311",2.2075,0.5,4.415,7,"iron","iron",0,0,"1403-0067"
"1102TOM1095",2.2037037037037,0.555555555555556,3.96666666666667,8,"manganese","iron, manganese",0,0,"1102-0006"
"1101LOU0035",2.02,1,2.02,9,"phosphorus","phosphorus",1,1,"1101-0068"
"1104IRE0136A",1.38,1,1.38,12,"iron","iron",0,0,"1104-0114"
"1004BUT0218",1.245,1,1.245,13,"phosphorus","phosphorus",1,1,"1004-0053"
"1301BOG0200",1.0775,0.5,2.155,15,"manganese","iron, manganese",1,2,"1301-0173"
"1003MEA5064",0.459166666666667,0.5,0.918333333333333,16,"manganese","manganese",1,2,"1003-0114"
"0503HOR0034",0.386666666666667,0.5,0.773333333333333,17,"manganese","manganese",0,0,"0503-0031"
"1501STE1021C",0.360833333333333,0.5,0.721666666666667,18,"iron","iron",0,0,"1501-0066"
