"PWS.ID","PWS.Name","PWS.Type","Primary.Source","Counties.Served","Cities.Served","PopulationServed.Count","Number.of.Facilities","Owner.Type","Facility.Id","Facility.Name","EPA.Region","Primacy.Agency","Facility.Type.Description","Is.Source.Ind","Activity.Status","Deactivation.Date","Facility.Activity","Facility.Deactivation.Date","Water.Type.Description","Availability.Description","Primacy.Type","Season.Begin.Date","Season.End.Date","Population.Served.Count","Service.Connections.Count","Is.Wholesaler","Seller.Pwsid","Seller.Pws.Name","Seller.Treatment.Description","Filtration.Status.Description","Treatment.Process","Treatment.Objective","LAKE_HISTORY_ID","Previous_Assessment","LOCATION_WATERBODY_CLASSIFICATION","LOCATION_PWL_ID","LAKE_FIN","LAKE_WATERBODY_NAME","Number.of.Violations","Number.of.Site.Visits"
"NY0100189","ALBANY CITY","Community water system","Surface water","Albany","ALBANY (C)",101082,12,"Local government",29767,"BASIC CREEK RESERVOIR","Region 2","New York","Intake","Y","Active",NA,"Active","","Surface water","Permanent","State","","",101082,29000,"N","","","","Filtration already in place","","","1309BAS0950A","Impaired","A","1309-0001","H-193-29-P950A","Basic Creek Reservoir",NA,NA
"NY0100189","ALBANY CITY","Community water system","Surface water","Albany","ALBANY (C)",101082,12,"Local government",29767,"BASIC CREEK RESERVOIR","Region 2","New York","Intake","Y","Active",NA,"Active","","Surface water","Permanent","State","","",101082,29000,"N","","","","Filtration already in place","","","1301ALC0185","No Known Impact","A","1301-0232","H-212-PN185","Alcove Reservoir",NA,NA
"NY0100189","ALBANY CITY","Community water system","Surface water","Albany","ALBANY (C)",101082,12,"Local government",29766,"ALCOVE RESERVOIR","Region 2","New York","Intake","Y","Active",NA,"Active","","Surface water","Permanent","State","","",101082,29000,"N","","","","Filtration already in place","","","1309BAS0950A","Impaired","A","1309-0001","H-193-29-P950A","Basic Creek Reservoir",NA,NA
"NY0100189","ALBANY CITY","Community water system","Surface water","Albany","ALBANY (C)",101082,12,"Local government",29766,"ALCOVE RESERVOIR","Region 2","New York","Intake","Y","Active",NA,"Active","","Surface water","Permanent","State","","",101082,29000,"N","","","","Filtration already in place","","","1301ALC0185","No Known Impact","A","1301-0232","H-212-PN185","Alcove Reservoir",NA,NA
"NY0100191","BETHLEHEM WD NO 1","Community water system","Surface water","Albany","BETHLEHEM (T)",31000,15,"Local government",32425,"KENWOOD INTERCONNECTION","Region 2","New York","Consecutive Connection","Y","Active",NA,"Active","","Surface water","Permanent","State","","",31000,12000,"N","NY0100189","ALBANY CITY","Filtered","Filtration already in place","","","1301VLY0262A","UnAssessed","C","1301-0234","H-221-4-7-PN262A","Vly Creek Reservoir",NA,NA
"NY0100191","BETHLEHEM WD NO 1","Community water system","Surface water","Albany","BETHLEHEM (T)",31000,15,"Local government",9600,"WELL #2","Region 2","New York","Well ","Y","Active",NA,"Active","","Ground water","Permanent","State","","",31000,12000,"N","","","","","","","1301VLY0262A","UnAssessed","C","1301-0234","H-221-4-7-PN262A","Vly Creek Reservoir",NA,NA
"NY0100191","BETHLEHEM WD NO 1","Community water system","Surface water","Albany","BETHLEHEM (T)",31000,15,"Local government",9599,"WELL #1","Region 2","New York","Well ","Y","Active",NA,"Active","","Ground water","Permanent","State","","",31000,12000,"N","","","","","","","1301VLY0262A","UnAssessed","C","1301-0234","H-221-4-7-PN262A","Vly Creek Reservoir",NA,NA
"NY0100191","BETHLEHEM WD NO 1","Community water system","Surface water","Albany","BETHLEHEM (T)",31000,15,"Local government",30842,"CREBLE ROAD INTERCONNECTION","Region 2","New York","Consecutive Connection","Y","Active",NA,"Active","","Surface water","Permanent","State","","",31000,12000,"N","NY0100189","ALBANY CITY","Filtered","Filtration already in place","","","1301VLY0262A","UnAssessed","C","1301-0234","H-221-4-7-PN262A","Vly Creek Reservoir",NA,NA
"NY0100191","BETHLEHEM WD NO 1","Community water system","Surface water","Albany","BETHLEHEM (T)",31000,15,"Local government",29769,"VLY CREEK IMPOUNDING RESERVOIR","Region 2","New York","Intake","Y","Active",NA,"Active","","Surface water","Permanent","State","","",31000,12000,"N","","","","Filtration already in place","","","1301VLY0262A","UnAssessed","C","1301-0234","H-221-4-7-PN262A","Vly Creek Reservoir",NA,NA
"NY0100198","LATHAM WATER DISTRICT","Community water system","Surface water","Albany","COLONIE (T)",78500,5,"Local government",29772,"MOHAWK RIVER","Region 2","New York","Intake","Y","Active",NA,"Active","","Surface water","Permanent","State","","",78500,19750,"N","","","","Filtration already in place","","","1201STO0503A","Needs Verification","A","1201-0098","H-240-14-P503A","Stony Reservoir",NA,NA
"NY0100198","LATHAM WATER DISTRICT","Community water system","Surface water","Albany","COLONIE (T)",78500,5,"Local government",9607,"MOHAWKVIEW WELL FIELD-5 WELLS","Region 2","New York","Well ","Y","Active",NA,"Active","","Ground water","Permanent","State","","",78500,19750,"N","","","","","","","1201STO0503A","Needs Verification","A","1201-0098","H-240-14-P503A","Stony Reservoir",NA,NA
"NY0110127","WATERVLIET CITY","Community water system","Surface water","Albany","WATERVLIET (C)",9889,7,"Local government",29777,"WATERVLIET RESERVOIR","Region 2","New York","Intake","Y","Active",NA,"Active","","Surface water","Permanent","State","","",9889,2800,"N","","","","Filtration already in place","","","1311WAT0270","Needs Verification","A","1311-0001","H-221-4-PN270","Watervliet Reservoir",NA,NA
"NY0501710","AUBURN","Community water system","Surface water","Cayuga","AUBURN (C)",27179,17,"Local government",78486,"FRANKLIN STREET RESERVOIR","Region 2","New York","Reservoir","Y","Active",NA,"Active","","Surface water","Permanent","State","","",27179,9000,"N","","","","Filtration already in place","","","0706OWA0212","Impaired","AA(T)","0706-0009","ONT-66-12-43-P212","Owasco Lake",NA,NA
"NY0501710","AUBURN","Community water system","Surface water","Cayuga","AUBURN (C)",27179,17,"Local government",78486,"FRANKLIN STREET RESERVOIR","Region 2","New York","Reservoir","Y","Active",NA,"Active","","Surface water","Permanent","State","","",27179,9000,"N","","","","Filtration already in place","","","0706DUTXXX1","Impaired","AA(T)","0706-0009",NA,"Dutch Hollow Brook",NA,NA
"NY0501710","AUBURN","Community water system","Surface water","Cayuga","AUBURN (C)",27179,17,"Local government",78485,"ON-SITE RESERVOIR","Region 2","New York","Reservoir","Y","Active",NA,"Active","","Surface water","Permanent","State","","",27179,9000,"N","","","","Filtration already in place","","","0706OWA0212","Impaired","AA(T)","0706-0009","ONT-66-12-43-P212","Owasco Lake",NA,NA
"NY0501710","AUBURN","Community water system","Surface water","Cayuga","AUBURN (C)",27179,17,"Local government",78485,"ON-SITE RESERVOIR","Region 2","New York","Reservoir","Y","Active",NA,"Active","","Surface water","Permanent","State","","",27179,9000,"N","","","","Filtration already in place","","","0706DUTXXX1","Impaired","AA(T)","0706-0009",NA,"Dutch Hollow Brook",NA,NA
"NY0501710","AUBURN","Community water system","Surface water","Cayuga","AUBURN (C)",27179,17,"Local government",29789,"OWASCO LAKE INTAKE - 30 FEET DEEP","Region 2","New York","Intake","Y","Active",NA,"Active","","Surface water","Permanent","State","","",27179,9000,"N","","","","Filtration already in place","","","0706OWA0212","Impaired","AA(T)","0706-0009","ONT-66-12-43-P212","Owasco Lake",NA,NA
"NY0501710","AUBURN","Community water system","Surface water","Cayuga","AUBURN (C)",27179,17,"Local government",29789,"OWASCO LAKE INTAKE - 30 FEET DEEP","Region 2","New York","Intake","Y","Active",NA,"Active","","Surface water","Permanent","State","","",27179,9000,"N","","","","Filtration already in place","","","0706DUTXXX1","Impaired","AA(T)","0706-0009",NA,"Dutch Hollow Brook",NA,NA
"NY0501721","OWASCO WATER DISTRICT","Community water system","Surface water","Cayuga","OWASCO (T)",3000,6,"Local government",29791,"OWASCO LAKE INTAKE - 45 FEET DEEP","Region 2","New York","Intake","Y","Active",NA,"Active","","Surface water","Permanent","State","","",3000,1448,"N","","","","Filtration already in place","","","0706DUTXXX1","Impaired","AA(T)","0706-0009",NA,"Dutch Hollow Brook",NA,NA
"NY0501721","OWASCO WATER DISTRICT","Community water system","Surface water","Cayuga","OWASCO (T)",3000,6,"Local government",29791,"OWASCO LAKE INTAKE - 45 FEET DEEP","Region 2","New York","Intake","Y","Active",NA,"Active","","Surface water","Permanent","State","","",3000,1448,"N","","","","Filtration already in place","","","0706OWA0212","Impaired","AA(T)","0706-0009","ONT-66-12-43-P212","Owasco Lake",NA,NA
"NY0512920","WELLS COLLEGE","Community water system","Surface water","Cayuga","AURORA (V), LEDYARD (T)",400,5,"Private",29797,"CAYUGA LAKE - 8"" INTAKE, 18-28 FT. DEEP","Region 2","New York","Intake","Y","Active",NA,"Active","","Surface water","Permanent","State","","",400,100,"N","","","","Filtration already in place","","","0705CAY0296","Threatened","AA(T)","0705-0050","ONT-66-12-P296","Cayuga Lake",47,15
"NY0600364","FREDONIA VILLAGE","Community water system","Surface water","Chautauqua","FREDONIA (V)",10400,7,"Local government",29805,"FREDONIA RESERVOIR","Region 2","New York","Intake","Y","Active",NA,"Active","","Surface water","Permanent","State","","",10400,3200,"N","","","","Filtration already in place","","","0105FRE0160","Threatened","A","0105-0021","E-37-7-P160","Fredonia Reservoir",NA,NA
"NY0600381","CHAUTAUQUA UTILITY DISTRICT","Community water system","Surface water","Chautauqua","CHAUTAUQUA (T)",9000,4,"Public/Private",29807,"CHAUTAUQUA LAKE 10"" INTAKE AT 300'","Region 2","New York","Intake","Y","Active",NA,"Active","","Surface water","Permanent","State","","",9000,1300,"N","","","","Filtration already in place","","","0202CHA0122","Impaired","A","0202-0072","PA-63-13-4-P122","Chautauqua Lake",NA,NA
"NY0602924","CHAUTAUQUA WATER DISTRICT #2","Community water system","Surface water","Chautauqua","CHAUTAUQUA (T)",490,7,"Private",29809,"CHAUTAUQUA LAKE INTAKE","Region 2","New York","Intake","Y","Active",NA,"Active","","Surface water","Permanent","State","","",490,172,"N","","","","Filtration already in place","","","0202CHA0122","Impaired","A","0202-0072","PA-63-13-4-P122","Chautauqua Lake",40,8
"NY0615782","WESTFIELD VILLAGE AND TOWN","Community water system","Surface water","Chautauqua","WESTFIELD (V)",3890,9,"Local government",29815,"CHAUTAUQUA CREEK","Region 2","New York","Intake","Y","Active",NA,"Active","","Surface water","Permanent","State","","",3890,1675,"N","","","","Filtration already in place","","","0105MIN0165A","Threatened","A","0105-0029","E-68-2-P165A","Minton Reservoir",NA,NA
"NY0615782","WESTFIELD VILLAGE AND TOWN","Community water system","Surface water","Chautauqua","WESTFIELD (V)",3890,9,"Local government",29814,"MINTON RESERVOIR","Region 2","New York","Intake","Y","Active",NA,"Active","","Surface water","Permanent","State","","",3890,1675,"N","","","","Filtration already in place","","","0105MIN0165A","Threatened","A","0105-0029","E-68-2-P165A","Minton Reservoir",NA,NA
"NY0801745","NORWICH CITY","Community water system","Surface water","Chenango","NORWICH (C)",8000,18,"Local government",54544,"UPPER/LOWER RESERVOIRS/RANSFORD CREEK","Region 2","New York","Intake","Y","Active",NA,"Active","","Surface water","Permanent","State","","",8000,2560,"N","","","","Filtration already in place","","","0602UWB0109","Needs Verification","A","0602-0010","SR-44-56-P109","Norwich Reservoir E",NA,NA
"NY0801745","NORWICH CITY","Community water system","Surface water","Chenango","NORWICH (C)",8000,18,"Local government",54544,"UPPER/LOWER RESERVOIRS/RANSFORD CREEK","Region 2","New York","Intake","Y","Active",NA,"Active","","Surface water","Permanent","State","","",8000,2560,"N","","","","Filtration already in place","","","0601CHE0213","No Known Impact","A","0601-0013","SR-146-19-6-1-P213","Chenango Lake",NA,NA
