"LAKE_HISTORY_ID","PWS"
"1006GEO0367","YES"
"1006EDG0381","YES"
"1005PIN0398","YES"
"1005DOL0424","YES"
"1005BUT0452","YES"
"1005WIL0455A","YES"
"1005UWB5349","YES"
"1003PAT0027","YES"
"1003MEA5064","YES"
"1003MCK0088","YES"
"1003RAY0091","YES"
"1004UWB0212","YES"
"1004PLA0254","YES"
"1004BUT0218","YES"
"1005BAR0338","YES"
"1000CHA0001","YES"
"1402RE10003","YES"
"1402LOU0040","YES"
"1402KIA0044","YES"
"1402EAS0055","YES"
"1403LIL0311","YES"
"1404STA0462","YES"
"0104UWB0104A","YES"
"0104CLE0100","YES"
"0105FRE0160","YES"
"0105BRO0160K","YES"
"0105BUR0162","YES"
"0105MIN0165A","YES"
"0105UWB0166M","YES"
"0100ERI5000","YES"
"1702KEN1063","YES"
"1702BAR1108","YES"
"1301UWB0413","YES"
"1301UWB0438P","YES"
"1301CHO0437","YES"
"1306UWB6070","YES"
"1306SHA0491","YES"
"1306HIG0492","YES"
"1306MIL0515","YES"
"1306MON0598","YES"
"1306GLE0668","YES"
"1306UWB0683","YES"
"1306RON0815A","YES"
"1307COO0839","YES"
"1307KIN0837A","YES"
"1307KIN0837","YES"
"1307KIN0838A","YES"
"1307ASH0848","YES"
"1308TAG0869","YES"
"1309HOL0913","YES"
"1309BAS0950A","YES"
"1309POT0925A","YES"
"1301SLE6666","YES"
"1301COX0152B","YES"
"1301BRO0155","YES"
"1301ALC0185","YES"
"1311DUA0290","YES"
"1311DEL0292","YES"
"1301VLY0262A","YES"
"1311WAT0270","YES"
"1201FOR0681","YES"
"1201FOR0681A","YES"
"1201VAN0689","YES"
"1201STO0503A","YES"
"1201DOL0709","YES"
"1201KLO0708","YES"
"1203HER0798F","YES"
"1203HIN0799","YES"
"1201UWB0940A","YES"
"1202TAN0655A","YES"
"1202TAN0655D","YES"
"1202TAN0655B","YES"
"1202UWB0579","YES"
"1202UWB0579A","YES"
"1202UWB0589A","YES"
"1202ENG0589","YES"
"1202UWB0599","YES"
"1202HOL5453","YES"
"1202COB0583","YES"
"1201COL0670","YES"
"1201COR0664","YES"
"1201FON0678A","YES"
"1201UWB5293","YES"
"1201MAR0570","YES"
"1201UWB0706B","YES"
"1101UWB1081","YES"
"1101MEC1083","YES"
"1102TOM1095","YES"
"1101LOU0035","YES"
"1302IND0042B","YES"
"1302NEW0044","YES"
"1302AMA0050","YES"
"1302MAH0053","YES"
"1302GLE0074","YES"
"1101NEW0099C","YES"
"1101KEE0114","YES"
"1101BON0115","YES"
"1104STE0135","YES"
"1104ROU0137","YES"
"1104UWB0134D","YES"
"1104IRE0136A","YES"
"1104GLO0150A","YES"
"1104JAC0151","YES"
"1104CAM0152","YES"
"1104RIC0152D","YES"
"1104POR0152E","YES"
"1104FOR0340","YES"
"1104GOO0442","YES"
"1301FIR0150A","YES"
"1301TIO0152","YES"
"1301CAM0163A","YES"
"1301STI0187A","YES"
"1301POP0191","YES"
"1301SUM0193","YES"
"1301BOG0200","YES"
"1301UWB0215B","YES"
"1303WAL0257","YES"
"1301CHA0341A","YES"
"1301LUS0204","YES"
"1303WAS0225","YES"
"1303BRO0226A","YES"
"1301UWB5426","YES"
"1309UWB6509","YES"
"1306MOH0774","YES"
"1501DEF0977A","YES"
"1501TUX1007","YES"
"1501MOM1010","YES"
"1501STA1011","YES"
"1501STE1021C","YES"
"1501STE1025","YES"
"0300ONT0000","YES"
"0402CAN0043","YES"
"0402HEM0044","YES"
"0402HON0057","YES"
"0402CON0067","YES"
"0403SIL0115","YES"
"0402UWB0030","YES"
"0102AKR0013","YES"
"0102ATT0020","YES"
"0801STI0493","YES"
"0801LOW0594","YES"
"0801UWB0782","YES"
"0801UWB0782C","YES"
"0703ONE0073","YES"
"0702OTI0175","YES"
"0707SKA0193","YES"
"0706OWA0212","YES"
"0704CAN0286","YES"
"0705CAY0296","YES"
"0705UWB0340A","YES"
"0705SEN0369","YES"
"0705KEU0388","YES"
"0302SOD0096","YES"
"0501ELM0019","YES"
"0503HOR0036","YES"
"0503HOR0034","YES"
"0202BEA0131","YES"
"0202CHA0122","YES"
"0903TUP0109","YES"
"0903LSI0182","YES"
"0903RAQ0293","YES"
"0903BLU0307","YES"
"0906CAR0050","YES"
"0905STA0281","YES"
"0905NEW0301","YES"
"0905CRA0309","YES"
"0901STL5150","YES"
"0902UCH0002","YES"
"0601CHE0213","YES"
"0601LOW0295","YES"
"0601WIL0297","YES"
"0602UWB0108","YES"
"0601OTS0404","YES"
"0601ALL0405","YES"
