LOCATION_HISTORY_ID,latitude,longitude,sampling_status
0402UWB0030_DH,42.682598,-78.1203,sample_site
0503HOR0035_DH,42.391899,-77.625298,sample_site
0801LOW0594_DH,43.8217,-75.322,sample_site
0906CAR0050_DH,43.9762,-75.3266,sample_site
1004UWB0212_DH,44.5597,-73.603,sample_site
1201COL0670_DH,43.0303,-74.4287,sample_site
1201DOL0709_DH,43.1631,-74.7802,sample_site
1201FOR0681_DH,42.947,-74.609,sample_site
1306GLE0668_DH,41.3262,-74.3371,sample_site
1307SAU0834_DH,42.1102,-74.0178,sample_site
0601LOW0295_DH,42.48,-75.05,sample_site
0601ALL0405_DH,42.829498,-74.951698,sample_site
1201FON0678A_DH,42.938689,-74.456553,sample_site
1202UWB0599_DH,42.65,-74.62,sample_site
1202TAN0655A_DH,42.217244,-74.150654,sample_site
1202TAN0655B_DH,42.21,-74.15,sample_site
1303ALE0222D_DH,41.41,-74.01,sample_site
1303UPP0223_DH,41.41,-74.01,sample_site
1301COX0152B_DH,42.37179,73.864945,sample_site
1302IND0042B_DH,41.192478,-73.863042,sample_site
1307COO0839_DH,42.06,-74.18,sample_site
1309POT0925A_DH,42.33,-73.92,sample_site
1311DUA0290_DH,42.8,-74.19,sample_site
1311DEL0292_DH,42.764646,-74.181247,sample_site
1404STA0462_DH,42.445323,-74.616072,sample_site
0601WIL0297_DH,42.51696,-75.052848,sample_site
1306MIL0515_DH,41.4389,-74.5353,TBD
1101UWB1081_DH,42.9242,-73.7224,not_active_PWS
1201UWB0662_DH,43.0286,-74.4596,TBD
0302COB0118_DH,43.1385,-77.5718,not_NYS_waterbody
