WATER_SYSTEM_NAME,WATER_SYSTEMID,FACILITY_TYPE,SOURCE_NAME,PRINCIPLE_COUNTY_SERVED,FACILITY_ID,PWS_INTAKE_LAYER_POPULATION_SERVED,WATER_SYSTEM_TYPE,PWL_ID,WIN,NAME,DESCRIPT,PARTITEM,CLASSIFICA,STANDARD,SUBBASIN,PROTECTED,R_P_NOTE_3,R_P_4_Final,Lat,Long
ELMIRA WATER BOARD,NY0701008,IN,HOFFMAN RESERVOIR INTAKE,CHEMUNG,2570860,65000,C,0501-0038,Pa  3-29,"Hoffman Brook, Upper, and tribs","stream and tribs, above Elmira Reservoir",811-28,A,A,02050105,1,"Possible resegmentation - meets criteria, no PWL",R,42.108606,-76.848459
BOVINA CENTER WATER DIST. NO 1,NY1200251,IN,COULTER BROOK,DELAWARE,2570905,142,C,1404-0006,D-71-61-14,"Coulter Brook, Upper, and tribs",stream and tribs above Bovina Center water supply dam,815-918,AA,AA(T),02040101,1,No review,R,42.2508,-74.7629
WESTFIELD VILLAGE AND TOWN,NY0615782,IN,CHAUTAUQUA CREEK,CHAUTAUQUA,2570855,3890,C,0105-0027,Ont 158..E-68,"Chautauqua Creek, Upper and tribs","stream and selected tribs, above Minton Reservoir",839-61,B,B(T),04120101,1,No review,R,42.3002,-79.5703
PORT HENRY WD,NY1500290,IN,BARTLETT BROOK IMPOUNDMENT,ESSEX,2570951,1831,C,1001-0025,C- 86-3,"Bartlett Brook, Upper, and minor tribs",stream and selected tribs abv Pt Henry water supply dam,830-391,D,D,02010008,0,No review,R,44.069062,-73.484455
COLD SPRING VILLAGE,NY3903652,IN,FOUNDRY BROOK RESERVOIR,PUTNAM,2571372,2666,C,1301-0177,H- 83,Foundry Brook and tribs,entire stream and tribs,862-66,A,A(T),02020008,1,No review,R,41.440488,-73.932474
NYACK VILLAGE WATER SUPPLY,NY4303666,IN,HACKENSACK RIVER,ROCKLAND,2571388,14700,C,1501-0026,NJ- 1 (portion 2),"Hackensack River, Lower, and minor tribs","stream and select tribs, from Lake Tappan to West Nyack",865-6,A,A,02030103,1,No review,R,41.095617,-73.962813
CONSTABLEVILLE VILLAGE,NY2402360,IN,SURFACE RESERVOIR,LEWIS,2571213,310,C,0801-0413,Ont  19- 91-10,"Sugar River Trib, Upper","stream and tribs, above Constableville",805-1286,AA,AA(T),04150101,1,No review,R,43.578776,-75.436304
DANSVILLE VILLAGE,NY2501015,IN,2 MIL GAL. SEDIMENTATION INTAKE,LIVINGSTON,2571221,8900,C,0404-0024,Ont 117- 66-22-1,Little Mill Creek and tribs,entire stream and tribs,821-241,AA,AA(TS),04130002,1,Possible resegmentation,R,42.567761,-77.6423
FORT PLAIN (V) WATER WORKS,NY2800139,IN,NORTH CREEK RESERVOIR,MONTGOMERY,2571256,2250,C,1201-0047,H-240-127-13,"North Creek, Upper, and tribs","stream and tribs, above/including Fort Plain Reservoir",876-310,AA,AA(T),02020004,1,No review,R,43.019,-74.5764
POTSDAM VILLAGE,NY4404397,IN,SURFACE-RAQUETTE RIVER,ST LAWRENCE,2571415,9425,C,0903-0064,SL- 1 (portion  2),"Raquette River, Middle, and tribs","stream and select tribs, from Potsdam to Hannawa Falls",910-442,B,B,04150305,1,No review,R,44.6691,-74.989
