WATER_SYSTEM_NAME,WATER_SYSTEMID,FACILITY_TYPE,SOURCE_NAME,PRINCIPLE_COUNTY_SERVED,FACILITY_ID,PWS_INTAKE_LAYER_POPULATION_SERVED,WATER_SYSTEM_TYPE,PWL_ID,WIN,NAME,DESCRIPT,PARTITEM,CLASSIFICA,STANDARD,SUBBASIN,PROTECTED,R_P_NOTE_3,R_P_4_Final,Lat,Long
ELMIRA WATER BOARD,NY0701008,IN,RIVER INTAKE,CHEMUNG,2570859,65000,C,0501-0016,Pa  3 (portion 3),"Chemung River, Upper, Main Stem",from Elmira to near Big Flats,811-4,A,A,02050105,1,No review,R,42.080119,-76.820653
PERU WD,NY0900216,IN,FURNACE BROOK RESERVOIR SURFACE,CLINTON,2570869,2700,C,1004-0021,C- 23,"Little Ausable River, Upper, and tribs",stream and tribs above dam in Peru,830-223,AA,AA,02010008,1,Reviewed,R,44.5598,-73.6021
WELLSVILLE VILLAGE PUBLIC WATER,NY0200327,IN,GENESEE RIVER - WEIDRICK ROAD INTAKE,ALLEGANY,2570808,5700,C,0403-0001,Ont 117 (portion 10),"Genesee River, Upper, Main Stem",from Wellsville to NY-Pa line,821-6,A,A(T),04130002,1,No review,R,42.0991,-77.9388
HUNTER VILLAGE,NY1900030,IN,SHANTY HOLLOW RESERVOIR,GREENE,2571051,1030,C,1202-0065,H-240- 82-141,Minor Trib to Schoharie Creek,entire stream and tribs,879-271,A,A,02020005,1,No review,R,42.201,-74.212
TANNERSVILLE VILLAGE,NY1900033,IN,SCHOHARIE CREEK (DIBBLES DAM),GREENE,2571052,629,C,1202-0026,H-240- 82 (portion 9),"Schoharie Creek, Upper, and tribs",stream and select tribs abv Tannersville water supply,879-295,C,C(TS),02020005,1,No review,R,42.1698,-74.1396
ITHACA CITY,NY5404416,IN,SIX MILE CREEK RESERVOIR AT 60 FT. DAM,TOMPKINS,2571553,29457,C,0705-0043,Ont  66-12-P296- 75- 5,"Sixmile Creek, Upper, and tribs","stream and tribs, above Ithaca",898-321,A,A,04140201,1,No review,R,42.425067,-76.474821
CORNELL UNIVERSITY,NY5417686,IN,FALL CREEK GRAVITY INTAKE,TOMPKINS,2571556,31581,C,0705-0036,Ont  66-12-P296- 74,"Fall Creek, Lower, and tribs","stream and tribs, from mouth to Freeville",898-247,A,A,04140201,1,No review,R,42.4546,-76.4562
CORNELL UNIVERSITY,NY5417686,IN,FALL CREEK PUMPED INTAKE,TOMPKINS,2571557,31581,C,0705-0036,Ont  66-12-P296- 74,"Fall Creek, Lower, and tribs","stream and tribs, from mouth to Freeville",898-246,B,B,04140201,1,No review,R,42.450851,-76.466808
GLENS FALLS CITY,NY5600104,IN,HALFWAY BROOK RESERVOIR,WARREN,2571903,14000,C,1005-0063,C-134- 4-19,"Halfway Creek, Upper, and tribs",stream and selected tribs above Tripoli,830-489,AA,AA(T),02010001,1,No review,R,43.3154,-73.6835
SCHOHARIE VILLAGE,NY4700098,IN,INTAKE # 1,SCHOHARIE,2571461,922,C,1202-0008,H-240- 82- 67,"Fox Creek, Lower, and tribs","stream and tribs, from mouth to Gallupville",879-55,A,A,02020005,1,No review,R,42.677043,-74.288741
PLATTE CLOVE COMMUNITY,NY1901970,IN,PLATTE CLOVE RESERVOIRS,GREENE,2571057,250,C,1307-0014,H-171-11,"Plattekill Creek, Upper, and tribs","stream and tribs, above Blue Mountain",861-12,A,A(TS),02020006,1,No review,R,42.1455,-74.0812
MIDDLETOWN CITY,NY3503534,IN,KINCH RESERVOIR,ORANGE,2571309,30000,C,1306-0048,H-139-13-19,"Shawangunk Kill, Upper, and tribs","stream and tribs, above New Hope",855.5-41.3,B,B,02020007,1,No review,R,41.434828,-74.542151
ADIRONDACK CAMP,NY5712749,IN,LAKE GEORGE INTAKE,WASHINGTON,2572003,175,NC,1006-0020,C-101-P367- 1 thru 26,"Tribs to L.George, East Shore",total length of selected tribs,830-430,AA-S,AA-S,02010008,1,No review,R,43.764528,-73.444564
CANAJOHARIE (V) WATER WORKS,NY2800137,IN,SPRING POND,MONTGOMERY,2589357,2300,C,1201-0135,H-240-127-15,"Sprite Creek, Upper, and tribs","stream and tribs, above/including Canajoharie Reservoir",876-318,AA,AA(T),02020004,1,No review,R,43.040709,-74.495149
JOHNS BROOK LODGE,NY1511414,IN,JOHNS BROOK,ESSEX,2631479,28,NC,1004-0074,C- 25-27-36,Johns Brook and tribs,entire stream and tribs,830-304,AA,AA(T),02010004,1,No review,R,44.158027,-73.862474
