"LOCATION_PWL_ID.x","LAKE_HISTORY_ID","within_period","use","type","parameter","fraction","units","n_samples_collected","n_years_sampled","n_exceedances","n_years_w_exceedances","n_no_result_value_provided","n_threshold_data_absent","notes","new_2023","LAKE_WATERBODY_NAME","LAKE_WATERBODY_TYPE","LAKE_BEACH_PRESENCE","LAKE_FIN","LAKE_ALTERNATE_NAME","LAKE_POND_NUMBER","PWS","LOCATION_PWL_ID.y","PWS.ID","LOCATION_HISTORY_ID","MUNICIPALITY","DEC_REGION","LOCATION_COUNTY","LOCATION_PWL_ID","LOCATION_NAME","LOCATION_TYPE","LOCATION_X_COORDINATE","LOCATION_Y_COORDINATE","LOCATION_HORIZONTAL_METHOD","LOCATION_HORIZONTAL_DATUM","LOCATION_WATERBODY_CLASSIFICATION","MAJOR_BASIN_ID"
,"1201UWB5293",,,,,,,,,,,,,,,"UNNAMED WATER","LAKE","NO","H-240-P5293","LOST LAKE - E","5293","YES",,,"1201UWB5293_C","Johnstown",5,"Fulton",,"UNNAMED WATER CENTROID","CENTROID",-74.483299,43.0443,"INTERPOLATION-OTHER","NAD83",,12
,"0105UWB0166M",,,,,,,,,,,,,,,"UNNAMED WATER","LAKE","NO","E-P166M",,"166M","YES",,"NY0600372","0105UWB0166M_C","Ripley",9,"Chautauqua",,"UNNAMED WATER CENTROID","CENTROID",-79.693001,42.2514,"INTERPOLATION-OTHER","NAD83",,1
,"1005UWB5349",,,,,,,,,,,,,,,"UNNAMED WATER","LAKE","NO","C-134-4-19-P5349",,"5349","YES",,,"1005UWB5349_C","Queensbury",5,"Warren",,"UNNAMED WATER CENTROID","CENTROID",-73.687302,43.316002,"INTERPOLATION-OTHER","NAD83",,10
,"0302MENXXX1",,,,,,,,,,,,,,,"MENDON RESERVOIR","OTHER","No",,,,"YES",,,"0302MENXXX1_C","Mendon",8,"Monroe",,"MENDON RESERVOIR CENTROID","OTHER",-77.4889,42.9514,"INTERPOLATION","NAD83",,3
,"0302RESXXX1",,,,,,,,,,,,,,,"11MG RESERVOIR ","LAKE","No",,,,"YES",,"NY5822366","0302RESXXX1_C","Huron",8,"Wayne",,"11MG RESERVOIR CENTROID","LAKE",-76.86784,43.2375,"INTERPOLATION","NAD83",,3
,"1404TRA5563",,,,,,,,,,,,,,,"TRAVIS POND","LAKE","NO","D-71-P453-2-P461-2-P5563",,"5563","YES",,,"1404TRA5563_C","Jefferson",4,"Schoharie",,"TRAVIS POND CENTROID","CENTROID",-74.605797,42.431801,"INTERPOLATION-OTHER","NAD83",,14
,"0302UWB5258",,,,,,,,,,,,,,,"UNNAMED WATER","LAKE","NO","ONT-P5258",,"5258","YES",,,"0302UWB5258_C","Pittsford",8,"Monroe",,"UNNAMED WATER CENTROID","CENTROID",-77.525398,43.053799,"INTERPOLATION-OTHER","NAD83",,3
,"1301UWB0215B",,,,,,,,,,,,,,,"UNNAMED WATER","LAKE","NO","H-83-P215B",,"215B","YES",,"NY3903652","1301UWB0215B_C","Philipstown",3,"Putnam",,"UNNAMED WATER CENTROID","CENTROID",-73.932999,41.440601,"INTERPOLATION-OTHER","NAD83",,13
,"0404DAN0092F",,,,,,,,,,,,,,,"DANSVILLE STORAGE RESERVO","LAKE","NO","ONT-117-66-22-1-P92F",,"92F","YES",,"NY2501015","0404DAN0092F_C","Wayland",8,"Steuben",,"DANSVILLE STORAGE RESERVO CENTROID","CENTROID",-77.6436,42.569801,"INTERPOLATION-OTHER","NAD83",,4
,"1301UWB0438P",,,,,,,,,,,,,,,"BEREAN PARK POND","LAKE","YES","H-116-1-2A-P438P","Unnamed Water","438P","YES",,"NY5503368","1301UWB0438P_C","Lloyd",3,"Ulster",,"UNNAMED WATER CENTROID","CENTROID",-73.980202,41.718102,"INTERPOLATION-OTHER","NAD83",,13
,"1201UWB0706B",,,,,,,,,,,,,,,"UNNAMED WATER","LAKE","NO","H-240-P706B",,"706B","YES",,,"1201UWB0706B_C","Salisbury",6,"Herkimer",,"UNNAMED WATER CENTROID","CENTROID",-74.841103,43.161301,"INTERPOLATION-OTHER","NAD83",,12
,"0901STL5150",,,,,,,,,,,,,,,"LAKE ST LAWRENCE","LAKE","NO","SL-P5150",,"5150","YES",,"NY4404390","0901STL5150_C","Waddington",,"St Lawrence",,"LAKE ST LAWRENCE CENTROID","CENTROID",-75.179199,44.880199,"INTERPOLATION-OTHER","NAD83",,9
,"1301CAM0163A",,,,,,,,,,,,,,,"CAMP FIELD RESERVOIR","LAKE","NO","H-55-P163A",,"163A","YES",,"NY5903452","1301CAM0163A_C","Peekskill",3,"Westchester",,"CAMP FIELD RESERVOIR CENTROID","CENTROID",-73.904701,41.303501,"INTERPOLATION-OTHER","NAD83",,13
,"0705UWB0340A",,,,,,,,,,,,,,,"SIX MILE CREEK RESERVIOR","LAKE","NO","ONT-66-12-P296-75-5-P340A","Unnamed Water","340A","YES",,"NY5404416","0705UWB0340A_C","Ithaca",7,"Tompkins",,"UNNAMED WATER CENTROID","CENTROID",-76.473099,42.423599,"INTERPOLATION-OTHER","NAD83",,7
,"1201FOR0681A",,,,,,,,,,,,,,,"FORT PLAIN RESERVOIR","LAKE","NO","H-240-127-13-P681A",,"681A","YES",,,"1201FOR0681A_C","Ephratah",5,"Fulton",,"FORT PLAIN RESERVOIR CENTROID","CENTROID",-74.575996,43.019001,"INTERPOLATION-OTHER","NAD83",,12
