"LAKE_HISTORY_ID","PWS.ID"
"0202CHA0122","NY0600381"
"0202CHA0122","NY0602924"
"0300ONT0000","NY2220914"
"0300ONT0000","NY2202343"
"0300ONT0000","NY3304336"
"0300ONT0000","NY2701047"
"0300ONT0000","NY4404391"
"0300ONT0000","NY2218318"
"0300ONT0000","NY2730003"
"0300ONT0000","NY4421262"
"0300ONT0000","NY2202333"
"0300ONT0000","NY2211789"
"0300ONT0000","NY4430161"
"0300ONT0000","NY2230111"
"0300ONT0000","NY4425001"
"0300ONT0000","NY2209487"
"0300ONT0000","NY5801258"
"0300ONT0000","NY2230027"
"0300ONT0000","NY2202329"
"0300ONT0000","NY2213144"
"0300ONT0000","NY5801241"
"0300ONT0000","NY2202335"
"0300ONT0000","NY2211794"
"0300ONT0000","NY2202072"
"0300ONT0000","NY2208814"
"0300ONT0000","NY2213150"
"0300ONT0000","NY3704361"
"0300ONT0000","NY2230004"
"0300ONT0000","NY2208618"
"0300ONT0000","NY2208212"
"0300ONT0000","NY2208203"
"0300ONT0000","NY2208811"
"0300ONT0000","NY2219170"
"0300ONT0000","NY2230097"
"0300ONT0000","NY3600599"
"0300ONT0000","NY4404394"
"0300ONT0000","NY2211795"
"0300ONT0000","NY4430133"
"0300ONT0000","NY5801245"
"0300ONT0000","NY3600596"
"0300ONT0000","NY2211796"
"0300ONT0000","NY2230124"
"0300ONT0000","NY5801233"
"0300ONT0000","NY2211797"
"0705CAY0296","NY0508759"
"0705CAY0296","NY5404423"
"0705CAY0296","NY4901198"
"0705CAY0296","NY0512920"
"0705CAY0296","NY0530002"
"0705SEN0369","NY4910589"
"0705SEN0369","NY3401156"
"0705SEN0369","NY4811938"
"0705SEN0369","NY4814162"
"0705SEN0369","NY4801188"
"0705SEN0369","NY4901195"
"0705SEN0369","NY6112874"
"0705SEN0369","NY6112885"
"0705SEN0369","NY4901199"
"1000CHA0001","NY1520370"
"1000CHA0001","NY1500278"
"1000CHA0001","NY1500299"
"1000CHA0001","NY1512226"
