"LAKE_HISTORY_ID","LOCATION_PWL_ID","PWS.ID"
"0100ERI5000",NA,"NY1400422"
"0100ERI5000",NA,"NY1400443"
"0100ERI5000",NA,"NY0617697"
"0100ERI5000",NA,"NY0600360"
"0100ERI5000",NA,"NY0611671"
"0102AKR0013","0102-0033","NY1400397"
"0102ATT0020","0102-0039","NY6000607"
"0105FRE0160","0105-0021","NY0600364"
"0105MIN0165A","0105-0029","NY0615782"
"0105UWB0166M",NA,"NY0600372"
"0202CHA0122","0202-0072","NY0600381"
"0202CHA0122","0202-0072","NY0602924"
"0300ONT0000","0303-0022","NY2220914"
"0300ONT0000","0303-0022","NY2202343"
"0300ONT0000","0303-0022","NY3304336"
"0300ONT0000","0303-0022","NY2701047"
"0300ONT0000","0303-0022","NY4404391"
"0300ONT0000","0303-0022","NY2218318"
"0300ONT0000","0303-0022","NY2730003"
"0300ONT0000","0303-0022","NY4421262"
"0300ONT0000","0303-0022","NY2202333"
"0300ONT0000","0303-0022","NY2211789"
"0300ONT0000","0303-0022","NY4430161"
"0300ONT0000","0303-0022","NY2230111"
"0300ONT0000","0303-0022","NY4425001"
"0300ONT0000","0303-0022","NY2209487"
"0300ONT0000","0303-0022","NY5801258"
"0300ONT0000","0303-0022","NY2230027"
"0300ONT0000","0303-0022","NY2202329"
"0300ONT0000","0303-0022","NY2213144"
"0300ONT0000","0303-0022","NY5801241"
"0300ONT0000","0303-0022","NY2202335"
"0300ONT0000","0303-0022","NY2211794"
"0300ONT0000","0303-0022","NY2202072"
"0300ONT0000","0303-0022","NY2208814"
"0300ONT0000","0303-0022","NY2213150"
"0300ONT0000","0303-0022","NY3704361"
"0300ONT0000","0303-0022","NY2230004"
"0300ONT0000","0303-0022","NY2208618"
"0300ONT0000","0303-0022","NY2208212"
"0300ONT0000","0303-0022","NY2208203"
"0300ONT0000","0303-0022","NY2208811"
"0300ONT0000","0303-0022","NY2219170"
"0300ONT0000","0303-0022","NY2230097"
"0300ONT0000","0303-0022","NY3600599"
"0300ONT0000","0303-0022","NY4404394"
"0300ONT0000","0303-0022","NY2211795"
"0300ONT0000","0303-0022","NY4430133"
"0300ONT0000","0303-0022","NY5801245"
"0300ONT0000","0303-0022","NY3600596"
"0300ONT0000","0303-0022","NY2211796"
"0300ONT0000","0303-0022","NY2230124"
"0300ONT0000","0303-0022","NY5801233"
"0300ONT0000","0303-0022","NY2211797"
"0302COB0118","0302-0035","NY2704518"
"0302RESXXX1",NA,"NY5822366"
"0302SOD0096","0302-0020","NY5830005"
"0402CON0067","0402-0004","NY2501017"
"0402CON0067","0402-0004","NY2501012"
"0402UWB0030",NA,"NY6000618"
"0403SIL0115","0403-0002","NY6000613"
"0403SIL0115","0403-0002","NY2501023"
"0404DAN0092F",NA,"NY2501015"
"0404NUN0084A","0404-0030","NY2501024"
"0501ELM0019",NA,"NY0701008"
"0503HOR0034","0503-0031","NY5001215"
"0601ALL0405","0601-0117","NY3800156"
"0601CHE0213","0601-0013","NY0801745"
"0601GUI0188","0601-0012","NY0801742"
"0601LOW0295","0601-0097","NY3800154"
"0601OTS0404","0601-0033","NY3800145"
"0601OTS0404","0601-0033","NY3821952"
"0601OTS0404","0601-0033","NY3807994"
"0601OTS0404","0601-0033","NY3830149"
"0601OTS0404","0601-0033","NY3813664"
"0601OTS0404","0601-0033","NY3807993"
"0703ONE0073","0703-0071","NY2602381"
"0704CAN0286","0704-0001","NY3401164"
"0704CAN0286","0704-0001","NY5801232"
"0704CAN0286","0704-0001","NY3430026"
"0704CAN0286","0704-0001","NY3401150"
