OBJECTID,Water_System_Name,Water_SystemID,Facility_Type,Source_Name,Principle_County_Served,Facility_ID,Population_Served,Water_System_Type,FIN,WATER,LakeID
1,CHAZY LAKE BEACH,NY0930189,IN,CHAZY LAKE,CLINTON,2632318,25,NP,C-3-P20,Chazy Lake,1002CHA0020
2,SARATOGA LAKE MOTEL,NY4514100,IN,SARATOGA LAKE INTAKE,SARATOGA,2633128,29,NC,H-299-P27,Saratoga Lake,1101SAR0027
3,CAMP EAGLE ISLAND,NY1613581,IN,UPPER SARANAC LAKE,FRANKLIN,2571010,125,NP,C-15-P110-6-P114,Upper Saranac Lake,1003USA0114
4,LAKE PLACID V,NY1500284,IN,LAKE PLACID INTAKE,ESSEX,2570948,5000,C,C-25-26-35-5-P254,Lake Placid,1004PLA0254
5,CHESTERFIELD WD,NY1500283,IN,BUTTERNUT POND INTAKE,ESSEX,2570947,2300,C,C-25-8-P218,Butternut Pond,1004BUT0218
6,ESSEX WD,NY1500278,IN,LAKE CHAMPLAIN INTAKE,ESSEX,2570945,350,C,C-P1,Lake Champlain,1000CHA0001
7,WILLSBORO WD,NY1500299,IN,LAKE CHAMPLAIN INTAKE,ESSEX,2570956,1571,C,C-P1,Lake Champlain,1000CHA0001
8,PORT KENT WD,NY1520370,IN,LAKE CHAMPLAIN,ESSEX,2628361,158,C,C-P1,Lake Champlain,1000CHA0001
9,TICONDEROGA WD,NY1500293,IN,LAKE GEORGE INTAKE,ESSEX,2570953,3700,C,C-101-P367,Lake George,1006GEO0367
10,NORTHERN LAKE GEORGE RESORT,NY5615223,IN,LAKE GEORGE,WARREN,2571962,50,NC,C-101-P367,Lake George,1006GEO0367
11,ARCADY BAY ESTATES,NY5618220,IN,"LAKE GEORGE-INTAKE 300'OUT,20'DEEP",WARREN,2571977,470,C,C-101-P367,Lake George,1006GEO0367
12,"LODGES AT BOLTON LANDING, THE",NY5615105,IN,LAKE GEORGE,WARREN,2571934,50,NC,C-101-P367,Lake George,1006GEO0367
13,TAKUNDEWIDE HOMEOWNERS,NY5612665,IN,SURFACE INTAKE- LAKE GEORGE,WARREN,2571924,104,NC,C-101-P367,Lake George,1006GEO0367
14,SHORE COLONY,NY5618359,IN,"LAKE GEORGE INTAKE (80' OUT, 30' DEEP)",WARREN,2571979,100,NC,C-101-P367,Lake George,1006GEO0367
15,BAY SHORE COURT,NY5615107,IN,LAKE GEORGE,WARREN,2571935,24,NP,C-101-P367,Lake George,1006GEO0367
16,COOL LEDGE COTTAGES,NY5615115,IN,LAKE GEORGE,WARREN,2571938,50,NC,C-101-P367,Lake George,1006GEO0367
17,SILVER BAY ASSOCIATION,NY5615221,IN,SURFACE INTAKE LAKE GEORGE,WARREN,2571961,1000,NTNC,C-101-P367,Lake George,1006GEO0367
18,HAGUE COMMUNITY HOMEOWNERS ASSOCIATION,NY5600105,IN,"LAKE GEORGE (INTAKE DEPTH 60') 6"""" MAIN",WARREN,2571907,20,NP,C-101-P367,Lake George,1006GEO0367
19,ROCK COVE ASSOCIATION,NY5615135,IN,LAKE GEORGE INTAKE- 80' OUT 12'DEEP 1'UP,WARREN,2571941,23,NP,C-101-P367,Lake George,1006GEO0367
20,LAKE GEORGE VILLAGE,NY5600106,IN,BEACH ROAD INTAKE,WARREN,2588876,1800,C,C-101-P367,Lake George,1006GEO0367
21,SANS SOUCI OF CLEVERDALE,NY5606467,IN,LAKE GEORGE,WARREN,2571917,40,NC,C-101-P367,Lake George,1006GEO0367
22,PORTERS COTTAGES,NY5615133,IN,"LAKE GEORGE, 20' OUT, 10' DEEP",WARREN,2571940,60,NC,C-101-P367,Lake George,1006GEO0367
23,CANOE ISLAND LODGE INC,NY5615110,IN,SURFACE WATER - LAKE GEORGE,WARREN,2594596,165,NC,C-101-P367,Lake George,1006GEO0367
24,BECKLEYS LAKESIDE LOG CABINS & MARINA,NY5630124,IN,SURFACE WATER INTAKE - LAKE GEORGE,WARREN,2625956,20,NP,C-101-P367,Lake George,1006GEO0367
25,CHAUTAUQUA WATER DISTRICT #2,NY0602924,IN,CHAUTAUQUA LAKE INTAKE,CHAUTAUQUA,2570847,490,C,PA-63-13-4-P122,Chautauqua Lake,0202CHA0122
26,CHAUTAUQUA UTILITY DISTRICT,NY0600381,IN,"CHAUTAUQUA LAKE 10"""" INTAKE AT 300'",CHAUTAUQUA,2570845,9000,C,PA-63-13-4-P122,Chautauqua Lake,0202CHA0122
27,BUFFALO WATER AUTHORITY,NY1400422,IN,LAKE ERIE INTAKE,ERIE,2570933,276000,C,E-P5000,Lake Erie,0100ERI5000
28,ECWA DIRECT,NY1400443,IN,LAKE ERIE INTAKE FOR STURGEON POINT,ERIE,2570934,248000,C,E-P5000,Lake Erie,0100ERI5000
29,BOURNES BEACH ASSOCIATION,NY0617697,IN,INTAKE,CHAUTAUQUA,2570858,100,NC,E-P5000,Lake Erie,0100ERI5000
30,DUNKIRK CITY,NY0600360,IN,LAKE ERIE INTAKE,CHAUTAUQUA,2570839,11848,C,E-P5000,Lake Erie,0100ERI5000
31,MONTICELLO VILLAGE,NY5203337,IN,KIAMESHA LAKE,SULLIVAN,2571513,8000,C,D-1-38-3-P44,Kiamesha Lake,1402KIA0044
32,KIAMESHA ARTESIAN SPRING WATER COMPANY,NY5203344,IN,KIAMESHA LAKE INTAKE,SULLIVAN,2571516,1200,C,D-1-38-3-P44,Kiamesha Lake,1402KIA0044
33,EMERALD GREEN LAKE LOUISE MARIE WC,NY5203346,IN,LAKE LOUISE MARIE INTAKE,SULLIVAN,2571517,2400,C,D-1-35-P40,Lake Louise Marie,1402LOU0040
34,TANAGER LODGE,NY0922982,IN,UPPER CHATEAUGAY LAKE,CLINTON,2570893,70,NP,SLC-21-P2,Upper Chateaugay Lake,0902UCH0002
35,EAGLE ISLAND HOMEOWNERS ASSOC,NY5830005,IN,SODUS BAY,WAYNE,2572013,200,NC,ONT-84-P96,Sodus Bay,0302SOD0096
36,NEW YORK CITY SYSTEM,NY7003493,IN,NEW CROTON RESERVOIR,NEW YORK ( BOROUGH),2624853,8271000,C,H-31-P44,New Croton Reservoir,1302NEW0044
37,TROY CITY PWS,NY4100050,IN,TOMHANNOCK RESERVOIR(PRECHLORNTED),RENSSELAER,2571383,49170,C,H-264-4-P1095,Tomhannock Reservoir,1102TOM1095
38,TROY CITY PWS,NY4100050,IN,MELROSE CHLORINATION STATION,RENSSELAER,2571384,49170,C,H-264-4-P1095,Tomhannock Reservoir,1102TOM1095
39,TROY CITY PWS,NY4100050,IN,INTAKES,RENSSELAER,2596696,49170,C,H-264-4-P1095,Tomhannock Reservoir,1102TOM1095
40,AVON VILLAGE,NY2501012,IN,CONESUS LAKE INTAKE,LIVINGSTON,2571220,3000,C,ONT-117-40-P67,Conesus Lake,0402CON0067
41,GENESEO VILLAGE,NY2501017,IN,CONESUS LAKE,LIVINGSTON,2571222,8000,C,ONT-117-40-P67,Conesus Lake,0402CON0067
42,ROCHESTER CITY,NY2704518,IN,CANADICE LAKE INTAKE,MONROE,2600309,214000,C,ONT-117-27-34-11-P43,Canadice Lake,0402CAN0043
43,ROCHESTER CITY,NY2704518,IN,HEMLOCK LAKE INTAKE,MONROE,2571238,214000,C,ONT-117-27-34-P44,Hemlock Lake,0402HEM0044
44,SUEZ WATER NEW YORK,NY4303673,IN,LAKE DEFOREST-IN,ROCKLAND,2571391,270000,C,NJ-1-12-P977A,DeForest Lake,1501DEF0977A
45,MONROE VILLAGE,NY3503535,IN,MOMBASHA LAKE,ORANGE,2571313,9516,C,NJ-12-17-P1008-3-P1010,Mombasha Lake,1501MOM1010
46,ALBANY CITY,NY0100189,IN,BASIC CREEK RESERVOIR,ALBANY,2570793,101082,C,H-193-29-P950A,Basic Creek Reservoir,1309BAS0950A
47,NEW YORK CITY SYSTEM,NY7003493,IN,RONDOUT RESERVOIR (50048 MG),NEW YORK ( BOROUGH),2572066,8271000,C,H-139-14-P815A,Rondout Reservoir,1306RON0815A
48,MIDDLETOWN CITY,NY3503534,IN,SHAWANGUNK RESERVOIR,ORANGE,2571312,30000,C,H-139-13-19-28-P491,Shawangunk Lake,1306SHA0491
49,ALBANY CITY,NY0100189,IN,ALCOVE RESERVOIR,ALBANY,2570792,101082,C,H-212-PN185,Alcove Reservoir,1301ALC0185
50,LAKE STAHAHE WS,NY3517675,IN,LAKE STAHAHE,ORANGE,2571340,1000,NC,NJ-12-18-P1011,Lake Stahahe,1501STA1011
51,TUXEDO PARK VILLAGE,NY3503557,IN,TUXEDO LAKE,ORANGE,2571318,1100,C,NJ-12-15-P1007,Tuxedo Lake,1501TUX1007
52,WESTCHESTER COUNTY WD #2,NY5903489,IN,"AMAWALK RESERVOIR, NYC CROTON SYSTEM",WESTCHESTER,2572025,0,C,H-31-P44-14-P50,Amawalk Reservoir,1302AMA0050
53,SLEEPY HOLLOW LAKE WATER CO.,NY1915264,IN,SLEEPY HOLLOW LAKE,GREENE,2571066,2000,C,H-202-P6666,Sleepy Hollow Lake,1301SLE6666
54,CARMEL WD 8,NY3903644,IN,LAKE MAHOPAC,PUTNAM,2571369,1600,C,H-31-P44-14-P53,Lake Mahopac,1302MAH0053
55,KINGSTON (CITY) WATER DISTRICT,NY5503374,IN,COOPER LAKE RESERVOIR/MINK HOLLOW,ULSTER,2576463,24000,C,H-171-17-21-P839,Cooper Lake,1307COO0839
56,WATERVLIET CITY,NY0110127,IN,WATERVLIET RESERVOIR,ALBANY,2570804,9889,C,H-221-4-PN270,Watervliet Reservoir,1311WAT0270
57,CANAJOHARIE (V) WATER WORKS,NY2800137,IN,LOST LAKE - E,MONTGOMERY,2571252,2300,C,H-240-P5293,Unnamed Water,1201UWB5293
58,ATHENS VILLAGE,NY1900024,IN,HOLLISTER LAKE RESERVOIR,GREENE,2571045,1700,C,H-193-1-P913,Hollister Lake,1309HOL0913
59,ASHOKAN HEADWORKS,NY5530001,IN,ASHOKAN RESEVOIR,ULSTER,2612200,97,NTNC,H-171-P848,Ashokan Reservoir,1307ASH0848
60,NEW YORK CITY SYSTEM,NY7003493,IN,ASHOKAN RESERVOIR (127858 MG),NEW YORK ( BOROUGH),2572069,8271000,C,H-171-P848,Ashokan Reservoir,1307ASH0848
61,LATHAM WATER DISTRICT,NY0100198,IN,STONY CREEK RESERVOIR,ALBANY,2570798,78500,C,H-240-14-P503A,Stony Reservoir,1201STO0503A
