"LAKE_HISTORY_ID","LAKE_POND_NUMBER"
"0100ERI5000","5000"
"0105UWB0166M","166M"
"0202CHA0122","122"
"0302MENXXX1",
"0302RESXXX1",
"0302UWB0008","8"
"0302UWB5258","5258"
"0402UWB0030","30"
"0404DAN0092F","92F"
"0501ELM0019","19"
"0503HOR0035","35"
"0601UWB0395","395"
"0705CAY0296","296"
"0705UWB0340A","340A"
"0801LOW0594","594"
"0901STL5150","5150"
"0906CAR0050","50"
"1003RAY0091","91"
"1004UWB0212","212"
"1005UWB5349","5349"
"1101DOR0098","98"
"1101NEW0099C","99C"
"1101UWB1081","1081"
"1104GLO0150A","150A"
"1104UWB0134D","134D"
"1201COL0670","670"
"1201DOL0709","709"
"1201FOR0681","681"
"1201FOR0681A","681A"
"1201SPRXXX1",
"1201UWB0662","662"
"1201UWB0706B","706B"
"1201UWB5293","5293"
"1202TAN0655D","655D"
"1202UWB0589A","589A"
"1203HER0798F","798F"
"1301CAM0163A","163A"
"1301FER0028C","28C"
"1301UWB0215B","215B"
"1301UWB0413","413"
"1301UWB0438P","438P"
"1301UWB5426","5426"
"1306GLE0668","668"
"1306MIL0515","515"
"1306UWB0683","683"
"1306UWB6000","6000"
"1306UWB6070","6070"
"1307SAU0834","834"
"1309UWB6509","6509"
"1404BLA0462A","462A"
"1404TRA5563","5563"
"1501UWB1007A","1007A"
"1601UWB1117A","1117A"
