"LAKE_HISTORY_ID","LOCATION_X_COORDINATE","LOCATION_Y_COORDINATE"
"0302UWB0008",-77.605102,43.131199
"0302UWB5258",-77.525398,43.053799
"0404DAN0092F",-77.6436,42.569801
"0503HOR0035",-77.625298,42.391899
"0601UWB0395",-74.969498,42.850399
"0601UWB0396",-74.967903,42.849899
"1101DOR0098",-73.626999,43.263401
"1201UWB0662",-74.459602,43.028599
"1301FER0028C",-73.826401,41.0993
"1301MEL0331",-73.9673,41.472099
"1301UWB0028D",-73.8255,41.097
"1301UWB0028E",-73.821999,41.097302
"1301UWB0028F",-73.824203,41.096298
"1301WIC0183A",-73.822899,41.424999
"1304BEA0345A",-73.882599,41.490398
"1306UWB6000",-74.078598,41.839001
"1307SAU0834",-74.017799,42.110199
"1404BLA0462A",-74.599098,42.4333
"1404TRA5563",-74.605797,42.431801
"1501UWB1007A",-74.209999,41.2383
"1601UWB1117A",-73.555901,41.634499
"1702BRY1106",-73.691399,41.168201
