"LAKE_HISTORY_ID","seg_id","LAKE_WATERBODY_NAME","summary"
"0705CAY0296","0705-0025","CAYUGA LAKE","Ammonia(88 yes)|Chloride(25 yes)|Nitrate and Nitrite(85 yes)|Total Phosphorus(1 no,8 yes)"
"0705CAY0296","0705-0030","CAYUGA LAKE","Total Phosphorus(4 no,1 yes)"
"0705CAY0296","0705-0040","CAYUGA LAKE","Ammonia(40 yes)|Chloride(13 yes)|Nitrate and Nitrite(38 yes)|Total Phosphorus(2 no,3 yes)"
"0705CAY0296","0705-0050","CAYUGA LAKE","Ammonia(205 yes)|Chloride(39 yes)|Dissolved Oxygen(4 yes)|Nitrate and Nitrite(202 yes)|Nitrite(10 yes)|Total Phosphorus(12 yes)|pH(4 yes)"
"0707SKA0193","0707-0004","SKANEATELES LAKE","Ammonia(90 yes)|Chloride(45 yes)|Dissolved Oxygen(112 yes)|Nitrate and Nitrite(129 yes)|Total Phosphorus(12 yes)|pH(24 no,180 yes)"
"1104SAC0314","1104-0050","SACANDAGA LAKE","Ammonia(107 yes)|Arsenic(4 yes)|Chloride(15 yes)|Dissolved Oxygen(2 yes)|Iron(4 yes)|Magnesium(2 yes)|Manganese(1 yes)|Nitrate and Nitrite(145 yes)|Nitrite(10 yes)|Sulfate(2 yes)|Total Phosphorus(18 yes)|pH(2 yes)"
"1104SCH0374","1104-0002","SCHROON LAKE","Ammonia(460 yes)|Arsenic(5 yes)|Chloride(60 yes)|Nitrate and Nitrite(338 yes)|Nitrite(32 yes)|Total Phosphorus(1 no,25 yes)"
"1301CHO0437","1301-0208","CHODIKEE LAKE","Ammonia(13 yes)|Arsenic(3 yes)|Copper(1 yes)|Dissolved Oxygen(8 no)|Iron(3 no)|Manganese(3 no)|Nitrate and Nitrite(5 yes)|Sulfate(8 yes)|Total Phosphorus(1 no)|pH(8 yes)"
"1302PEA0093","1302-0004","PEACH LAKE","Nitrite(1 no,27 yes)|Total Phosphorus(21 no,1 yes)"
"1306SIL0807","1306-0124","SILVER LAKE","Ammonia(1 yes)|Dissolved Oxygen(2 yes)|pH(2 yes)"
"1309HOL0913","1309-0007","HOLLISTER LAKE","Ammonia(8 yes)|Arsenic(1 yes)|Dissolved Oxygen(8 no,2 yes)|Iron(1 no)|Manganese(1 no)|Nitrate and Nitrite(5 yes)|Sulfate(10 yes)|Total Phosphorus(1 no)|pH(1 no,9 yes)"
"1310COP0108","1310-0014","COPAKE LAKE","Ammonia(3 yes)|Dissolved Oxygen(4 no,2 yes)|Total Phosphorus(8 no,1 yes)|pH(1 no,5 yes)"
