"LOCATION_PWL_ID","LAKE_HISTORY_ID","within_period","use","type","parameter","fraction","units","n_samples_collected","n_years_sampled","n_exceedances","n_years_w_exceedances","n_no_result_value_provided","n_threshold_data_absent","notes"
"0601-0098","0601WIL0297",FALSE,"source_of_water_supply","health_water-source","nitrate_nitrite","total","ug/l",3,2,0,0,0,0,"none"
"0601-0098","0601WIL0297",FALSE,"source_of_water_supply","health_water-source","sulfate","total","ug/l",3,2,0,0,0,0,"none"
"0601-0098","0601WIL0297",FALSE,"fishing","aquatic_chronic","ammonia","total","ug/l",2,1,0,0,0,2,"none"
"0601-0098","0601WIL0297",FALSE,"source_of_water_supply","health_water-source","chloride","total","ug/l",3,2,0,0,0,0,"none"
"0601-0098","0601WIL0297",FALSE,"secondary_contact_recreation","recreation","phosphorus","total","ug/l",1,1,0,0,0,0,"none"
"0601-0098","0601WIL0297",FALSE,"source_of_water_supply","aesthetic_water-supply","iron","total","ug/l",2,1,1,1,0,0,"none"
"0601-0098","0601WIL0297",FALSE,"primary_contact_recreation","recreation","phosphorus","total","ug/l",1,1,0,0,0,0,"none"
"0601-0098","0601WIL0297",FALSE,"source_of_water_supply","health_water-source","magnesium","total","ug/l",3,2,0,0,0,0,"none"
"0601-0098","0601WIL0297",FALSE,"source_of_water_supply","health_water-source","ammonia","total","ug/l",2,1,0,0,0,0,"none"
"0601-0098","0601WIL0297",FALSE,"source_of_water_supply","aesthetic_water-supply","manganese","total","ug/l",2,1,1,1,0,0,"none"
"0602-0010","0602UWB0108",FALSE,"fishing","aquatic_chronic","ammonia","total","ug/l",10,1,0,0,0,10,"none"
"0602-0010","0602UWB0108",FALSE,"source_of_water_supply","health_water-source","nitrate","total","ug/l",10,1,0,0,0,0,"none"
"0602-0010","0602UWB0108",FALSE,"secondary_contact_recreation","recreation","phosphorus","total","ug/l",1,1,1,1,0,0,"none"
"0602-0010","0602UWB0108",FALSE,"source_of_water_supply","health_water-source","ammonia","total","ug/l",10,1,1,1,0,0,"none"
"0602-0010","0602UWB0108",FALSE,"primary_contact_recreation","recreation","phosphorus","total","ug/l",1,1,1,1,0,0,"none"
"0602-0010","0602UWB0108",FALSE,"source_of_water_supply","health_water-source","chloride","total","ug/l",10,1,0,0,0,0,"none"
"0905-0180","0905STA0281",FALSE,"primary_contact_recreation","recreation","phosphorus","total","ug/l",29,5,0,0,0,0,"none"
"0905-0180","0905STA0281",FALSE,"secondary_contact_recreation","recreation","phosphorus","total","ug/l",29,5,0,0,0,0,"none"
"0905-0180","0905STA0281",FALSE,"source_of_water_supply","health_water-source","nitrate_nitrite","total","ug/l",32,5,0,0,0,0,"none"
"1301-0232","1301ALC0185",FALSE,"source_of_water_supply","health_water-source","nitrate_nitrite","total","ug/l",9,1,0,0,0,0,"none"
"1301-0232","1301ALC0185",FALSE,"source_of_water_supply","health_water-source","ammonia","total","ug/l",9,1,0,0,0,0,"none"
"1301-0232","1301ALC0185",FALSE,"primary_contact_recreation","recreation","phosphorus","total","ug/l",4,1,0,0,0,0,"none"
"1301-0232","1301ALC0185",FALSE,"fishing","aquatic_chronic","ammonia","total","ug/l",9,1,0,0,0,9,"none"
"1301-0232","1301ALC0185",FALSE,"secondary_contact_recreation","recreation","phosphorus","total","ug/l",4,1,0,0,0,0,"none"
"1302-0007","1302MAH0053",FALSE,"source_of_water_supply","health_water-source","nitrate_nitrite","total","ug/l",59,13,0,0,0,0,"none"
"1302-0007","1302MAH0053",FALSE,"secondary_contact_recreation","recreation","phosphorus","total","ug/l",70,13,7,7,0,0,"none"
"1302-0007","1302MAH0053",FALSE,"primary_contact_recreation","recreation","phosphorus","total","ug/l",70,13,7,7,0,0,"none"
"1302-0007","1302MAH0053",FALSE,"source_of_water_supply","health_water-source","ammonia","total","ug/l",4,1,0,0,0,0,"none"
"1302-0007","1302MAH0053",FALSE,"fishing","aquatic_chronic","ammonia","total","ug/l",4,1,0,0,0,4,"none"
"1303-0004","1303WAL0257",FALSE,"fishing","aquatic_chronic","ammonia","total","ug/l",4,1,0,0,0,4,"none"
"1303-0004","1303WAL0257",FALSE,"source_of_water_supply","health_water-source","fluoride","total","ug/l",7,1,7,1,0,0,"none"
"1303-0004","1303WAL0257",FALSE,"fishing","aquatic_chronic","fluoride","total","ug/l",7,1,0,0,0,7,"none"
"1303-0004","1303WAL0257",FALSE,"source_of_water_supply","health_water-source","chloride","total","ug/l",7,1,7,1,0,0,"none"
"1303-0004","1303WAL0257",FALSE,"source_of_water_supply","health_water-source","sulfate","total","ug/l",7,1,0,0,0,0,"none"
"1303-0004","1303WAL0257",FALSE,"secondary_contact_recreation","recreation","phosphorus","total","ug/l",2,1,0,0,0,0,"none"
"1303-0004","1303WAL0257",FALSE,"source_of_water_supply","health_water-source","nitrate_nitrite","total","ug/l",6,1,0,0,0,0,"none"
"1303-0004","1303WAL0257",FALSE,"primary_contact_recreation","recreation","phosphorus","total","ug/l",2,1,0,0,0,0,"none"
"1303-0004","1303WAL0257",FALSE,"source_of_water_supply","health_water-source","ammonia","total","ug/l",4,1,0,0,0,0,"none"
"1403-0067","1403LIL0311",FALSE,"source_of_water_supply","health_water-source","magnesium","total","ug/l",2,1,0,0,0,0,"none"
"1403-0067","1403LIL0311",FALSE,"fishing","aquatic_chronic","ammonia","total","ug/l",2,1,0,0,0,2,"none"
"1403-0067","1403LIL0311",FALSE,"secondary_contact_recreation","recreation","phosphorus","total","ug/l",1,1,0,0,0,0,"none"
"1403-0067","1403LIL0311",FALSE,"source_of_water_supply","health_water-source","arsenic","total","ug/l",1,1,0,0,0,0,"none"
"1403-0067","1403LIL0311",FALSE,"source_of_water_supply","health_water-source","ammonia","total","ug/l",2,1,0,0,0,0,"none"
"1403-0067","1403LIL0311",FALSE,"source_of_water_supply","health_water-source","nitrate_nitrite","total","ug/l",2,1,0,0,0,0,"none"
"1403-0067","1403LIL0311",FALSE,"source_of_water_supply","health_water-source","sulfate","total","ug/l",2,1,0,0,0,0,"none"
"1403-0067","1403LIL0311",FALSE,"source_of_water_supply","aesthetic_water-supply","manganese","total","ug/l",2,1,0,0,0,0,"none"
"1403-0067","1403LIL0311",FALSE,"primary_contact_recreation","recreation","phosphorus","total","ug/l",1,1,0,0,0,0,"none"
"1403-0067","1403LIL0311",FALSE,"source_of_water_supply","aesthetic_water-supply","iron","total","ug/l",2,1,1,1,0,0,"none"
"1403-0067","1403LIL0311",FALSE,"source_of_water_supply","health_water-source","chloride","total","ug/l",2,1,0,0,0,0,"none"
