"LOCATION_PWL_ID","waterbody","huc_10","basin_name","class","water_type","segment_assessment","LAKE_HISTORY_ID","LOCATION_HISTORY_ID","LOCATION_COUNTY","LOCATION_NAME","LOCATION_TYPE","LOCATION_X_COORDINATE","LOCATION_Y_COORDINATE","LOCATION_HORIZONTAL_METHOD","LOCATION_HORIZONTAL_DATUM","LOCATION_WATERBODY_CLASSIFICATION"
"0101-0026","Delaware Park Pond",412010406,"Lake Erie-Niagara River","b","pond","IR5_impaired","0101UWB5037","0101UWB5037_C","Erie","UNNAMED WATER CENTROID","CENTROID",-78.863197,42.9268,"INTERPOLATION-OTHER","NAD83","B"
"0101-0030","Hyde Park Lake",412010406,"Lake Erie-Niagara River","b","pond","IR5_impaired","0101HYDXXX1","0101HYDXXX1_DH","Niagara","HYDE PARK LAKE DEEP HOLE","DEEP HOLE",-79.02356,43.096161,"INTERPOLATION-OTHER","NAD83","B"
"0101-0030","Hyde Park Lake",412010406,"Lake Erie-Niagara River","b","pond","IR5_impaired","0101HYDXXX1","0101HYDXXX1_C","Niagara","HYDE PARK LAKE CENTROID","CENTROID",-79.022324,43.100662,"INTERPOLATION-OTHER","NAD83","B"
"0101-0038","Green Lake",412010304,"Lake Erie-Niagara River","b","pond","IR5_impaired","0104GRE5309","0104GRE5309_C","Erie","GREEN LAKE CENTROID","CENTROID",-78.751404,42.757301,"INTERPOLATION-OTHER","NAD83","B"
"0101-0038","Green Lake",412010304,"Lake Erie-Niagara River","b","pond","IR5_impaired","0104GRE5309","0104GRE5309_DH","Erie","GREEN LAKE (ERIE) DEEP HOLE","DEEP HOLE",-78.753512,42.757515,"INTERPOLATION-OTHER","NAD83","B"
"0101-0038","Green Lake",412010304,"Lake Erie-Niagara River","b","pond","IR5_impaired","0104GRE5309","0104GRE5309_BEACH","Erie","GREEN LAKE BEACH - YATES PARK","SHORE",-78.751526,42.758229,"INTERPOLATION-OTHER","NAD83","B"
"0102-0033","Akron Reservoir",412010402,"Lake Erie-Niagara River","a","pond","IR3_needs-verification","0102AKR0013","0102AKR0013_C","Wyoming","AKRON RESERVOIR CENTROID","CENTROID",-78.357597,42.8675,"INTERPOLATION-OTHER","NAD83","A"
"0102-0033","Akron Reservoir",412010402,"Lake Erie-Niagara River","a","pond","IR3_needs-verification","0102AKR0013","0102AKR0013_DH","Wyoming","AKRON RESERVOIR DEEP HOLE","DEEP HOLE",-78.35585,42.868655,"GPS WIDE AREA AUGMENTATION SYSTEM","NAD83","A"
"0102-0033","Akron Reservoir",412010402,"Lake Erie-Niagara River","a","pond","IR3_needs-verification","0102AKR0013","0102AKR0013_OUT","Genesee","AKRON RESERVOIR OUTLET","OUTLET",-78.356565,42.869695,"INTERPOLATION-OTHER","NAD83","A"
"0102-0035","Divers Lake",412010401,"Lake Erie-Niagara River","c","pond","IR3_unassessed","0102DIV0015","0102DIV0015_DH","Genesee","DIVER'S LAKE DEEP HOLE","DEEP HOLE",-78.39954,43.04089,"GPS - UNSPECIFIED","NAD83","C"
"0102-0035","Divers Lake",412010401,"Lake Erie-Niagara River","c","pond","IR3_unassessed","0102DIV0015","0102DIV0015_C","Genesee","DIVERS LAKE CENTROID","CENTROID",-78.399399,43.0411,"INTERPOLATION-OTHER","NAD83","C"
"0102-0039","Attica Reservoir",412010401,"Lake Erie-Niagara River","a","pond","IR5_impaired","0102ATT0020","0102ATT0020_DH","Wyoming","ATTICA RESERVOIR #2 (MIDDLE) DEEP HOLE","DEEP HOLE",-78.25945,42.83261,"GPS - UNSPECIFIED","NAD83","A"
"0102-0039","Attica Reservoir",412010401,"Lake Erie-Niagara River","a","pond","IR5_impaired","0102ATT0020","0102ATT0020_C","Wyoming","ATTICA RESERVOIR CENTROID","CENTROID",-78.258202,42.830898,"INTERPOLATION-OTHER","NAD83","A"
"0102-0040","Attica Water Supply Reservoir",412010401,"Lake Erie-Niagara River","a","pond","IR3_needs-verification","0102ATT0020A","0102ATT0020A_C","Wyoming","ATTICA RESERVOIR CENTROID","CENTROID",-78.226601,42.7859,"INTERPOLATION-OTHER","NAD83","A"
"0102-0040","Attica Water Supply Reservoir",412010401,"Lake Erie-Niagara River","a","pond","IR3_needs-verification","0102ATT0020A","0102ATT0020A_DH","Wyoming","ATTICA WATER SUPPLY RESERVOIR (UPPER) DEEP HOLE","DEEP HOLE",-78.229659,42.78723,"GPS WIDE AREA AUGMENTATION SYSTEM","NAD83","A"
"0102-0043","Faun Lake",412010401,"Lake Erie-Niagara River","c","pond","IR3_needs-verification","0102FAU0021A","0102FAU0021A_C","Wyoming","FAUN LAKE CENTROID","CENTROID",-78.287399,42.645199,"INTERPOLATION-OTHER","NAD83","C"
"0102-0043","Faun Lake",412010401,"Lake Erie-Niagara River","c","pond","IR3_needs-verification","0102FAU0021A","0102FAU0021A_BEACH","Wyoming","FAUN LAKE BEACH","SHORE",-78.286667,42.647737,"INTERPOLATION-OTHER","NAD83","C"
"0102-0043","Faun Lake",412010401,"Lake Erie-Niagara River","c","pond","IR3_needs-verification","0102FAU0021A","0102FAU0021A_DH","Wyoming","FAUN LAKE DEEP HOLE","DEEP HOLE",-78.289837,42.64061,"INTERPOLATION-OTHER","NAD83","C"
"0103-0010","Beaver Meadow Pond",412010302,"Lake Erie-Niagara River","c","pond","IR3_needs-verification","0103UWB5480","0103UWB5480_C","Wyoming","UNNAMED WATER CENTROID","CENTROID",-78.381897,42.6726,"INTERPOLATION-OTHER","NAD83","C"
"0103-0010","Beaver Meadow Pond",412010302,"Lake Erie-Niagara River","c","pond","IR3_needs-verification","0103UWB5480","0103UWB5480_DH","Wyoming","BEAVER MEADOW POND DEEP HOLE","DEEP HOLE",-78.381349,42.673909,"INTERPOLATION-OTHER","NAD83","C"
"0103-0010","Beaver Meadow Pond",412010302,"Lake Erie-Niagara River","c","pond","IR3_needs-verification","0103UWB5479","0103UWB5479_DH","Ontario","Unnamed Water DEEP HOLE","DEEP HOLE",-77.285607,42.82157,"GPS - UNSPECIFIED","WGS84","C"
"0103-0010","Beaver Meadow Pond",412010302,"Lake Erie-Niagara River","c","pond","IR3_needs-verification","0103UWB5479","0103UWB5479_C","Wyoming","UNNAMED WATER CENTROID","CENTROID",-78.383003,42.669399,"INTERPOLATION-OTHER","NAD83","C"
"0103-0016","Orchard Park Reservoir",412010303,"Lake Erie-Niagara River","a","pond","IR3_unassessed","0103ORC5454","0103ORC5454_C","Erie","ORCHARD PARK RESERVOIR CENTROID","CENTROID",-78.6511,42.690399,"INTERPOLATION-OTHER","NAD83","A"
"0103-0016","Orchard Park Reservoir",412010303,"Lake Erie-Niagara River","a","pond","IR3_unassessed","0103ORC5454","0103ORC5454_DH","Erie","ORCHARD PARK RESERVOIR","DEEP HOLE",-78.651851,42.690219,"GPS WIDE AREA AUGMENTATION SYSTEM","NAD83","A"
"0104-0001","Lime Lake",412010201,"Lake Erie-Niagara River","b","pond","IR5_impaired","0104LIM0130","0104LIM0130_C","Cattaraugus","LIME LAKE CENTROID","CENTROID",-78.479202,42.427399,"INTERPOLATION-OTHER","NAD83","B"
"0104-0001","Lime Lake",412010201,"Lake Erie-Niagara River","b","pond","IR5_impaired","0104LIM0130","0104LIM0130_SL","Cattaraugus","LIME LAKE HARMFUL ALGAL BLOOM","SHORE",-78.47981,42.42927,"GPS WIDE AREA AUGMENTATION SYSTEM","NAD83","B"
"0104-0004","Java Lake",412010201,"Lake Erie-Niagara River","b","pond","IR4c_impaired","0104JAV0152","0104JAV0152_NNW","Wyoming","JAVA LAKE NORTH NORTH WEST","SHORE",-78.346897,42.633427,"INTERPOLATION-OTHER","NAD83","B"
"0104-0004","Java Lake",412010201,"Lake Erie-Niagara River","b","pond","IR4c_impaired","0104JAV0152","0104JAV0152_C","Wyoming","JAVA LAKE CENTROID","CENTROID",-78.343903,42.631302,"INTERPOLATION-OTHER","NAD83","B"
"0104-0032","Lake Erie (Erie Basin)",412010406,"Lake Erie-Niagara River","c","pond","IR5_impaired",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0104-0033","Lake Erie (Outer Harbor, North)",412010303,"Lake Erie-Niagara River","b","pond","IR5_impaired",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0104-0034","Lake Erie (Outer Harbor, South)",412010303,"Lake Erie-Niagara River","c","pond","IR5_impaired",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0104-0035","Lake Erie (Northeast Shoreline)",412010303,"Lake Erie-Niagara River","c","pond","IR5_impaired",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0104-0036","Lake Erie (Northeast Shoreline)",412010304,"Lake Erie-Niagara River","b","pond","IR5_impaired",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0104-0037","Lake Erie (Main Lake, North)",412010306,"Lake Erie-Niagara River","a-special","pond","IR5_impaired",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0104-0057","Clear Lake",412010202,"Lake Erie-Niagara River","a","pond","IR5_impaired","0104CLE0100","0104CLE0100_DH","Erie","CLEAR LAKE DEEP HOLE","DEEP HOLE",-78.852943,42.552907,"GPS WIDE AREA AUGMENTATION SYSTEM","NAD83","A"
"0104-0057","Clear Lake",412010202,"Lake Erie-Niagara River","a","pond","IR5_impaired","0104CLE0100","0104CLE0100_C","Erie","CLEAR LAKE CENTROID","CENTROID",-78.852997,42.553501,"INTERPOLATION-OTHER","NAD83","A"
"0104-0060","Rainbow, Timber Lakes",412010202,"Lake Erie-Niagara River","c(t)","pond","IR3_unassessed","0104RAI5630","0104RAI5630_DH","Cattaraugus","RAINBOW LAKE DEEP HOLE","DEEP HOLE",-78.69767,42.35233,"GPS - UNSPECIFIED","NAD83","C(T)"
"0104-0060","Rainbow, Timber Lakes",412010202,"Lake Erie-Niagara River","c(t)","pond","IR3_unassessed","0104RAI5630","0104RAI5630_C","Cattaraugus","RAINBOW LAKE CENTROID","CENTROID",-78.698196,42.352001,"INTERPOLATION-OTHER","NAD83","C(T)"
"0104-0060","Rainbow, Timber Lakes",412010202,"Lake Erie-Niagara River","c(t)","pond","IR3_unassessed","0104TIM5635","0104TIM5635_C","Cattaraugus","TIMBER LAKE CENTROID","CENTROID",-78.678703,42.352501,"INTERPOLATION-OTHER","NAD83","C(T)"
"0104-0066","Frog Pond, Sucker Pond",412010201,"Lake Erie-Niagara River","c","pond","IR3_needs-verification","0104FRO0128","0104FRO0128_OUT","Cattaraugus","FROG POND OUTLET","OUTLET",-78.481589,42.438671,"GPS WIDE AREA AUGMENTATION SYSTEM","NAD83","C"
"0104-0066","Frog Pond, Sucker Pond",412010201,"Lake Erie-Niagara River","c","pond","IR3_needs-verification","0104SUC0132","0104SUC0132_DH","Cattaraugus","SUCKER POND DEEP HOLE","DEEP HOLE",-78.5032,42.43667,"GPS - UNSPECIFIED","NAD83","C"
"0104-0066","Frog Pond, Sucker Pond",412010201,"Lake Erie-Niagara River","c","pond","IR3_needs-verification","0104SUC0132","0104SUC0132_C","Cattaraugus","SUCKER POND CENTROID","CENTROID",-78.503601,42.4366,"INTERPOLATION-OTHER","NAD83","C"
"0104-0066","Frog Pond, Sucker Pond",412010201,"Lake Erie-Niagara River","c","pond","IR3_needs-verification","0104FRO0128","0104FRO0128_C","Cattaraugus","FROG POND CENTROID","CENTROID",-78.481499,42.438702,"INTERPOLATION-OTHER","NAD83","C"
"0104-0067","Beaver Lake",412010201,"Lake Erie-Niagara River","b","pond","IR3_unassessed","0104BEA0133","0104BEA0133_OUT","Cattaraugus","BEAVER LAKE OUTLET","OUTLET",-78.398668,42.445659,"INTERPOLATION-OTHER","NAD83","B"
