"LOCATION_PWL_ID","parameter_simple","use_assessment","class"
"0102-0033","dissolved_oxygen","IR3_impaired_unconfirmed","a"
"0102-0039","dissolved_oxygen","IR3_impaired_unconfirmed","a"
"0104-0057","dissolved_oxygen","IR5_impaired_confirmed","a"
"0105-0021","dissolved_oxygen","IR5_impaired_confirmed","a"
"0105-0025","dissolved_oxygen","IR3_impaired_unconfirmed","a"
"0201-0020","dissolved_oxygen","IR3_impaired_unconfirmed","c(t)"
"0202-0008","dissolved_oxygen","IR5_impaired_confirmed","a"
"0202-0080","dissolved_oxygen","IR3_impaired_unconfirmed","c(t)"
"0301-0047","dissolved_oxygen","IR3_impaired_unconfirmed","a"
"0402-0032","dissolved_oxygen","IR5_impaired_confirmed","aa"
"0404-0030","dissolved_oxygen","IR3_impaired_unconfirmed","a"
"0502-0001","dissolved_oxygen","IR5_impaired_confirmed","a"
"0502-0002","dissolved_oxygen","IR5_impaired_confirmed","a"
"0503-0031","dissolved_oxygen","IR3_impaired_unconfirmed","a"
"0601-0013","dissolved_oxygen","IR5_impaired_confirmed","a"
"0601-0095","dissolved_oxygen","IR3_impaired_unconfirmed","aa(t)"
"0602-0010","dissolved_oxygen","IR5_impaired_confirmed","a"
"0702-0011","dissolved_oxygen","IR5_impaired_confirmed","aa"
"0703-0021","dissolved_oxygen","IR3_impaired_unconfirmed","a"
"0703-0071","dissolved_oxygen","IR3_impaired_unconfirmed","aa(t)"
"0704-0028","dissolved_oxygen","IR3_impaired_unconfirmed","a"
"0704-0035","dissolved_oxygen","IR3_impaired_unconfirmed","a"
"0705-0060","dissolved_oxygen","IR3_impaired_unconfirmed","a"
"0801-0204","dissolved_oxygen","IR3_impaired_unconfirmed","c(t)"
"0801-0260","dissolved_oxygen","IR3_impaired_unconfirmed","a"
"0801-0350","dissolved_oxygen","IR3_impaired_unconfirmed","c(t)"
"0801-0376","dissolved_oxygen","IR3_impaired_unconfirmed","a(t)"
"0801-0377","dissolved_oxygen","IR5_impaired_confirmed","aa(t)"
"0801-0378","dissolved_oxygen","IR5_impaired_confirmed","a(t)"
"0801-0388","dissolved_oxygen","IR3_impaired_unconfirmed","a(t)"
"0801-0418","dissolved_oxygen","IR3_impaired_unconfirmed","a(t)"
"0902-0102","dissolved_oxygen","IR3_impaired_unconfirmed","c(t)"
"0902-0121","dissolved_oxygen","IR3_impaired_unconfirmed","c(t)"
"0902-0159","dissolved_oxygen","IR3_impaired_unconfirmed","aa"
"0903-0056","dissolved_oxygen","IR5_impaired_confirmed","aa(t)"
"0903-0142","dissolved_oxygen","IR3_impaired_unconfirmed","a"
"0903-0145","dissolved_oxygen","IR3_impaired_unconfirmed","c(t)"
"0903-0146","dissolved_oxygen","IR3_impaired_unconfirmed","a"
"0903-0154","dissolved_oxygen","IR3_impaired_unconfirmed","a"
"0903-0210","dissolved_oxygen","IR3_impaired_unconfirmed","a"
"0903-0213","dissolved_oxygen","IR3_impaired_unconfirmed","a"
"1001-0027","dissolved_oxygen","IR3_impaired_unconfirmed","aa(t)"
"1002-0009","dissolved_oxygen","IR3_impaired_unconfirmed","aa(t)"
"1003-0048","dissolved_oxygen","IR5_impaired_confirmed","aa"
"1003-0062","dissolved_oxygen","IR3_impaired_unconfirmed","c(t)"
"1003-0069","dissolved_oxygen","IR5_impaired_confirmed","a(t)"
"1003-0079","dissolved_oxygen","IR3_impaired_unconfirmed","a(t)"
"1003-0100","dissolved_oxygen","IR5_impaired_confirmed","aa"
"1003-0114","dissolved_oxygen","IR3_impaired_unconfirmed","a"
"1004-0063","dissolved_oxygen","IR5_impaired_confirmed","c(t)"
"1004-0075","dissolved_oxygen","IR5_impaired_confirmed","aa(t)"
"1004-0089","dissolved_oxygen","IR3_impaired_unconfirmed","c(t)"
"1004-0091","dissolved_oxygen","IR3_impaired_unconfirmed","c(t)"
"1005-0018","dissolved_oxygen","IR5_impaired_confirmed","c(t)"
"1005-0049","dissolved_oxygen","IR3_impaired_unconfirmed","aa"
"1005-0051","dissolved_oxygen","IR3_impaired_unconfirmed","aa(t)"
"1005-0060","dissolved_oxygen","IR3_impaired_unconfirmed","c(t)"
"1101-0012","dissolved_oxygen","IR3_impaired_unconfirmed","a"
"1101-0084","dissolved_oxygen","IR5_impaired_confirmed","a(t)"
"1102-0006","dissolved_oxygen","IR3_impaired_unconfirmed","a"
"1104-0021","dissolved_oxygen","IR3_impaired_unconfirmed","aa"
"1104-0031","dissolved_oxygen","IR3_impaired_unconfirmed","aa-special"
"1104-0037","dissolved_oxygen","IR5_impaired_confirmed","aa-special"
"1104-0111","dissolved_oxygen","IR3_impaired_unconfirmed","aa"
"1104-0113","dissolved_oxygen","IR3_impaired_unconfirmed","aa"
"1104-0173","dissolved_oxygen","IR3_impaired_unconfirmed","aa"
"1104-0200","dissolved_oxygen","IR3_impaired_unconfirmed","aa-special"
"1104-0232","dissolved_oxygen","IR3_impaired_unconfirmed","aa(t)"
"1104-0255","dissolved_oxygen","IR3_impaired_unconfirmed","a"
"1104-0260","dissolved_oxygen","IR3_impaired_unconfirmed","a(t)"
"1104-0280","dissolved_oxygen","IR3_impaired_unconfirmed","c(t)"
"1104-0281","dissolved_oxygen","IR3_impaired_unconfirmed","c(t)"
"1104-0284","dissolved_oxygen","IR3_impaired_unconfirmed","a"
"1104-0298","dissolved_oxygen","IR3_impaired_unconfirmed","c(t)"
"1201-0098","dissolved_oxygen","IR3_impaired_unconfirmed","a"
"1201-0120","dissolved_oxygen","IR3_impaired_unconfirmed","aa(t)"
"1201-0150","dissolved_oxygen","IR3_impaired_unconfirmed","c(t)"
"1201-0198","dissolved_oxygen","IR3_impaired_unconfirmed","a(t)"
"1202-0009","dissolved_oxygen","IR3_impaired_unconfirmed","a"
"1202-0015","dissolved_oxygen","IR3_impaired_unconfirmed","a"
"1202-0016","dissolved_oxygen","IR3_impaired_unconfirmed","a"
"1202-0064","dissolved_oxygen","IR3_impaired_unconfirmed","c(t)"
"1301-0102","dissolved_oxygen","IR3_impaired_unconfirmed","a"
"1301-0114","dissolved_oxygen","IR3_impaired_unconfirmed","a"
"1301-0153","dissolved_oxygen","IR3_impaired_unconfirmed","a"
"1301-0164","dissolved_oxygen","IR3_impaired_unconfirmed","a"
"1301-0166","dissolved_oxygen","IR3_impaired_unconfirmed","a"
"1301-0173","dissolved_oxygen","IR3_impaired_unconfirmed","a(t)"
"1301-0179","dissolved_oxygen","IR3_impaired_unconfirmed","a(t)"
"1301-0183","dissolved_oxygen","IR3_impaired_unconfirmed","a"
"1301-0190","dissolved_oxygen","IR5_impaired_confirmed","a"
"1301-0274","dissolved_oxygen","IR3_impaired_unconfirmed","a"
"1302-0024","dissolved_oxygen","IR5_impaired_confirmed","a(t)"
"1302-0025","dissolved_oxygen","IR5_impaired_confirmed","aa(t)"
"1302-0122","dissolved_oxygen","IR3_impaired_unconfirmed","a"
"1303-0012","dissolved_oxygen","IR3_impaired_unconfirmed","a"
"1303-0013","dissolved_oxygen","IR3_impaired_unconfirmed","a"
"1304-0017","dissolved_oxygen","IR5_impaired_confirmed","a"
"1304-0034","dissolved_oxygen","IR3_impaired_unconfirmed","c(t)"
"1305-0002","dissolved_oxygen","IR3_impaired_unconfirmed","aa(t)"
"1306-0060","dissolved_oxygen","IR3_impaired_unconfirmed","aa"
"1306-0075","dissolved_oxygen","IR3_impaired_unconfirmed","aa"
"1309-0001","dissolved_oxygen","IR5_impaired_confirmed","a"
"1309-0007","dissolved_oxygen","IR3_impaired_unconfirmed","a"
"1311-0001","dissolved_oxygen","IR5_impaired_confirmed","a"
"1401-0134","dissolved_oxygen","IR3_impaired_unconfirmed","b(ts)"
"1402-0003","dissolved_oxygen","IR5_impaired_confirmed","a"
"1402-0027","dissolved_oxygen","IR5_impaired_confirmed","aa"
"1402-0049","dissolved_oxygen","IR3_impaired_unconfirmed","a"
"1403-0057","dissolved_oxygen","IR3_impaired_unconfirmed","c(ts)"
"1404-0041","dissolved_oxygen","IR3_impaired_unconfirmed","c(t)"
"1501-0001","dissolved_oxygen","IR3_impaired_unconfirmed","a(t)"
"1501-0002","dissolved_oxygen","IR3_impaired_unconfirmed","a"
"1501-0007","dissolved_oxygen","IR5_impaired_confirmed","a"
"1501-0066","dissolved_oxygen","IR3_impaired_unconfirmed","a"
"1701-0128","dissolved_oxygen","IR5_impaired_confirmed","a"
"1701-0129","dissolved_oxygen","IR5_impaired_confirmed","a"
"1701-0359","dissolved_oxygen","IR5_impaired_confirmed","aa"
"1702-0067","dissolved_oxygen","IR3_impaired_unconfirmed","a"
"1702-0104","dissolved_oxygen","IR3_impaired_unconfirmed","aa"
"1702-0109","dissolved_oxygen","IR3_impaired_unconfirmed","a"
"1702-0134","dissolved_oxygen","IR3_impaired_unconfirmed","aa"
