"LOCATION_PWL_ID","waterbody"
"0303-0022","Henderson Bay"
"0601-0033","Otsego Lake"
"0601-0097","Oneonta Lower Reservoir"
"0601-0117","Allen Lake"
"0602-0010","Norwich Reservoirs"
"0905-0180","Star Lake"
"1000-0002","Lake Champlain, Main Lake, Middle"
"1001-0015","Willsboro Bay"
"1004-0053","Butternut Pond"
"1005-0038","Dolph/Beaver Pond"
"1006-0028","Edgecomb Pond"
"1101-0059","Mechanicville Reservoir"
"1101-0068","Loughberry Lake"
"1104-0236","Gooseneck Pond"
"1201-0123","Fonda Reservoir"
"1202-0038","Richmondville Reservoir"
"1301-0128","First, Second and Third Reservoirs"
"1301-0174","Lusk Reservoir"
"1301-0227","Coxsackie Reservoir"
"1301-0232","Alcove Reservoir"
"1302-0007","Lake Mahopac"
"1302-0025","Lake Gleneida"
"1302-0067","Indian Brook Reservoir"
"1303-0004","Walton Lake"
"1306-0003","Rondout Reservoir"
"1307-0021","Kingston Reservoir 4"
"1307-0022","Cooper Lake"
"1309-0024","Potuck (Potic) Reservoir"
"1311-0022","Duanesburg Reservoir"
"1311-0023","Delanson Reservoir"
"1403-0067","Lily Pond"
"1404-0090","Stamford Reservoir"
"1701-0285","Barlow Pond, Fishers Island"
"1702-0059","Kensico Reservoir"
