"LAKE_HISTORY_ID","PWS","PWS.ID","LAKE_WATERBODY_NAME"
"0100ERI5000","YES",NA,"Lake Erie"
"0102ATT0020","YES",NA,"Attica Reservoir"
"0104CLE0100","YES",NA,"Clear Lake"
"0104UWB0104A","YES",NA,"Unnamed Water"
"0105BRO0160K","YES",NA,"Brocton Reservoir"
"0105BUR0162","YES",NA,"Burr Reservoir"
"0105UWB0166M","YES",NA,"Unnamed Water"
"0202BEA0131","YES",NA,"Bear Lake"
"0302SOD0096","YES",NA,"Sodus Bay"
"0402HON0057","YES",NA,"Honeoye Lake"
"0402UWB0030","YES",NA,"Unnamed Water"
"0501ELM0019","YES",NA,"Elmira Reservoir"
"0601WIL0297","YES",NA,"Wilber Lake"
"0705UWB0340A","YES",NA,"Six Mile Creek Reservior"
"0801LOW0594","YES",NA,"Lowville Reservoir"
"0801STI0493","YES",NA,"Stillwater Reservoir"
"0801UWB0782","YES",NA,"Third Lake"
"0801UWB0782C","YES",NA,"Third Lake"
"0901STL5150","YES",NA,"Lake St Lawrence"
"0902UCH0002","YES",NA,"Upper Chateaugay Lake"
"0903RAQ0293","YES",NA,"Raquette Lake"
"0903TUP0109","YES",NA,"Tupper Lake"
"0905CRA0309","YES",NA,"Cranberry Lake"
"0905NEW0301","YES",NA,"Newton Falls Reservoir Lo"
"0906CAR0050","YES",NA,"Carthage Reservoir"
"1003MCK0088","YES",NA,"Mckenzie Pond"
"1003RAY0091","YES",NA,"Ray Brook Pond"
"1004UWB0212","YES",NA,"Unnamed Water"
"1005PIN0398","YES",NA,"Pine Lake"
"1005UWB5349","YES",NA,"Unnamed Water"
"1101BON0115","YES",NA,"Lake Bonita"
"1101NEW0099C","YES",NA,"New Reservoir"
"1101UWB1081","YES",NA,"Unnamed Water"
"1104FOR0340","YES",NA,"Forest Lake"
"1104GLO0150A","YES",NA,"Gloversville Reservoir"
"1104ROU0137","YES",NA,"Round Lake"
"1104UWB0134D","YES",NA,"Unnamed Water"
"1201COL0670","YES",NA,"Cold Brook Reservoir"
"1201DOL0709","YES",NA,"Dolgeville Reservoir"
"1201FOR0681","YES",NA,"Fort Plain Reservoir"
"1201FOR0681A","YES",NA,"Fort Plain Reservoir"
"1201MAR0570","YES",NA,"Mariaville Lake"
"1201UWB0706B","YES",NA,"Unnamed Water"
"1201UWB5293","YES",NA,"Unnamed Water"
"1202TAN0655A","YES",NA,"Tannersville Reservoir"
"1202TAN0655B","YES",NA,"Tannersville Reservoir"
"1202TAN0655D","YES",NA,"Tannersville Reservoir"
"1202UWB0589A","YES",NA,"Lower Engleville Pond"
"1203HER0798F","YES",NA,"Herkimer Reservoir"
"1301CAM0163A","YES",NA,"Camp Field Reservoir"
"1301SUM0193","YES",NA,"Summit Lake"
"1301TIO0152","YES",NA,"Lake Tiorati"
"1301UWB0215B","YES",NA,"Unnamed Water"
"1301UWB0413","YES",NA,"Unnamed Water"
"1301UWB0438P","YES",NA,"Berean Park Pond"
"1301UWB5426","YES",NA,"Unnamed Water"
"1306GLE0668","YES",NA,"Glenmere Lake"
"1306MIL0515","YES",NA,"Mill Pond"
"1306MOH0774","YES",NA,"Mohonk Lake"
"1306MON0598","YES",NA,"Monhagen Lake"
"1306UWB0683","YES",NA,"Unnamed Water"
"1306UWB6070","YES",NA,"Unnamed Water"
"1308TAG0869","YES",NA,"Lake Taghkanic"
"1309UWB6509","YES",NA,"Unnamed Water"
"1501STA1011","YES",NA,"Lake Stahahe"
