"LAKE_HISTORY_ID","LAKE_WATERBODY_NAME","LOCATION_X_COORDINATE","LOCATION_Y_COORDINATE","LOCATION_WATERBODY_CLASSIFICATION","location_id","update_rank","group"
"0503HOR0034","HORNELL RS NO 1",-77.632103,42.3862,"A","0503HOR0034_DH",27,"with_data"
"1003MEA5064","MEAD RESERVOIR",-73.5838,44.7266,"A","1003MEA5064_DH",32,"with_data"
"1003USA0114","UPPER SARANAC LAKE",-74.3004,44.3017,"AA","1003USA0114_DH",23,"with_data"
"1004BUT0218","BUTTERNUT POND",-73.4966,44.4298,"AA","1004BUT0218_DH",30,"with_data"
"1101LOU0035","LOUGHBERRY LAKE",-73.7651,43.0997,"A","1101LOU0035_DH",29,"with_data"
"1102TOM1095","TOMHANNOCK RESERVOIR",-73.5682,42.8574,"A","1102TOM1095_DH",25,"with_data"
"1104IRE0136A","IRELAND VLY",-74.0194,43.1499,"AA","1104IRE0136A_DH",26,"with_data"
"1301BOG0200","BOG MEADOW POND",-74.013,41.3874,"A(T)","1301BOG0200_DH",31,"with_data"
"1303WAL0257","WALTON LAKE",-74.2225,41.307,"A","1303WAL0257_DH",22,"with_data"
"1403LIL0311","LILY POND",-74.7461,41.8865,"AA","1403LIL0311_DH",24,"with_data"
"1501STE1021C","STERLING FOREST LAKE",-74.2603,41.1635,"A","1501STE1021C_DH",28,"with_data"
"0302COB0118","COBBS HILL RESERVOIR",-77.5718,43.1385,"C","0302COB0118_DH",1,"no_data"
"0402UWB0030","UNNAMED WATER",-78.1203,42.682598,,"0402UWB0030_DH",13,"no_data_no_pwl"
"0601ALL0405","ALLEN LAKE",-74.951698,42.829498,"A","0601ALL0405_DH",3,"no_data"
"0601LOW0295","LOWER RESERVOIR",-75.047798,42.480202,"A","0601LOW0295_DH",2,"no_data"
"0801LOW0594","LOWVILLE RESERVOIR",-75.322,43.8217,,"0801LOW0594_DH",14,"no_data_no_pwl"
"0906CAR0050","CARTHAGE RESERVOIR",-75.3266,43.9762,,"0906CAR0050_DH",15,"no_data_no_pwl"
"1004UWB0212","UNNAMED WATER",-73.603,44.5597,,"1004UWB0212_DH",16,"no_data_no_pwl"
"1201COL0670","COLD BROOK RESERVOIR",-74.4287,43.0303,,"1201COL0670_DH",17,"no_data_no_pwl"
"1201DOL0709","DOLGEVILLE RESERVOIR",-74.7802,43.1631,,"1201DOL0709_DH",18,"no_data_no_pwl"
"1201FON0678A","FONDA RESERVOIR",-74.4564,42.9388,"AA(T)","1201FON0678A_DH",4,"no_data"
"1201FOR0681","FORT PLAIN RESERVOIR",-74.609,42.947,,"1201FOR0681_DH",19,"no_data_no_pwl"
"1202TAN0655A","TANNERSVILLE RESERVOIR",-74.1566,42.2074,"AA","1202TAN0655A_DH",6,"no_data"
"1202UWB0599","UNNAMED WATER",-74.6177,42.6504,"A","1202UWB0599_DH",5,"no_data"
"1301COX0152B","COXSACKIE RESERVOIR",-73.8647,42.3713,"A","1301COX0152B_DH",8,"no_data"
"1302IND0042B","INDIAN BROOK RESERVOIR",-73.8631,41.1925,"A","1302IND0042B_DH",9,"no_data"
"1303ALE0222D","ALECK MEADOW RESERVOIR",-74.0149,41.4052,"A","1303ALE0222D_DH",7,"no_data"
"1306GLE0668","GLENMERE LAKE",-74.3371,41.3262,,"1306GLE0668_DH",20,"no_data_no_pwl"
"1307COO0839","COOPER LAKE",-74.1789,42.0612,"A","1307COO0839_DH",10,"no_data"
"1307SAU0834","SAUGERTIES RESERVOIR",-74.0178,42.1102,,"1307SAU0834_DH",21,"no_data_no_pwl"
"1309POT0925A","POTIC RESERVOIR",-73.9193,42.3327,"A","1309POT0925A_DH",11,"no_data"
"1311DEL0292","DELANSON RESERVOIR",-74.1812,42.7647,"A","1311DEL0292_DH",12,"no_data"
