OBJECTID,Join_Count,TARGET_FID,FIN,ACRES,SHORELINE_MILES,WATER,WATER_SYSTEM_NAME,WATER_SYSTEM_ID,SOURCE_NAME,PRINCIPAL_COUNTY_SERVED,FACILITY_ID,WATER_SYSTEM_TYPE,ADDITIONAL_REG_AGENCY,CONTACT_NAME,CONTACT_PHONE,POPULATION_SERVED,SOURCE_TYPE,SHAPE__Area,SHAPE__Length
1,1,45,C-25-26-35-5-P254,1954.299999999999955,21.500000000000000,Lake Placid,LAKE PLACID V,NY1500284,LAKE PLACID INTAKE,ESSEX,2570948.000000000000000,C, ,LAKE PLACID MAYOR AND VILLAGE TRUSTEES,518-523-2597,5000.000000000000000,IN,15464420.605468750000000,48338.056460772488208
2,1,54,C-25-8-P218,160.599999999999994,3.000000000000000,Butternut Pond,KEESEVILLE V,NY1500283,BUTTERNUT POND INTAKE,ESSEX,2570947.000000000000000,C, ,KEESEVILLE MAYOR AND VILLAGE TRUSTEES,518-834-9059,2300.000000000000000,IN,1275266.019531250000000,6836.800798224517166
3,4,114,C-P1,276083.900000000023283,622.200000000000045,Lake Champlain,PORT KENT WD,NY1520370,LAKE CHAMPLAIN,ESSEX,2628361.000000000000000,C, ,CHESTERFIELD SUPERVISOR AND TOWN BOARD,518-834-9042,158.000000000000000,IN,2204567495.964843750000000,1405236.783677751896903
4,18,140,C-101-P367,28523.100000000002183,162.300000000000011,Lake George,SHORE COLONY,NY5618359,"LAKE GEORGE INTAKE (80' OUT, 30' DEEP)",WARREN,2571979.000000000000000,NC, ,"HARRINGTON, CHRIS",518-793-8866,100.000000000000000,IN,220297674.074218750000000,360954.054062882845756
5,2,148,PA-63-13-4-P122,13163.899999999999636,47.899999999999999,Chautauqua Lake,CHAUTAUQUA WATER DISTRICT #2,NY0602924,CHAUTAUQUA LAKE INTAKE,CHAUTAUQUA,2570847.000000000000000,C,PUBLIC SERVICE COMMISSION,CHAUTAUQUA TOWN SUPERVISOR, ,174.000000000000000,IN,96806178.164062500000000,103924.264696647107485
6,1,332,PA-63-13-23-P131,116.299999999999997,2.700000000000000,Bear Lake,BROCTON VILLAGE,NY0600353,BEAR LAKE,CHAUTAUQUA,2570835.000000000000000,C, ,VILLAGE OF BROCTON MAYOR,716-792-4169,5185.000000000000000,IN,859804.363281250000000,5813.578926638287157
7,2,418,E-P5000,75109.500000000000000,79.000000000000000,Lake Erie,ECWA DIRECT,NY1400443,LAKE ERIE INTAKE FOR STURGEON POINT,ERIE,2570934.000000000000000,C, ,ERIE COUNTY WATER AUTHORITY,716-849-8484,410479.000000000000000,IN,562553292.800781250000000,172996.732180168444756
8,3,423,E-P5000,272978.099999999976717,301.300000000000011,Lake Erie,DUNKIRK CITY AND AREA,NY0600360,LAKE ERIE INTAKE,CHAUTAUQUA,2570839.000000000000000,C, ,CITY OF DUNKIRK MAYOR, ,14000.000000000000000,IN,2004439598.445312500000000,653380.312557529658079
9,1,444,E-50-5-P162,2.800000000000000,0.300000000000000,Burr Reservoir,BROCTON VILLAGE,NY0600353,BURR RESERVOIR,CHAUTAUQUA,2570837.000000000000000,C, ,VILLAGE OF BROCTON MAYOR,716-792-4169,5185.000000000000000,IN,20549.019531250000000,567.016943636352721
10,2,542,D-1-38-3-P44,145.500000000000000,1.900000000000000,Kiamesha Lake,KIAMESHA ARTESIAN SPRING WATER COMPANY,NY5203344,KIAMESHA LAKE INTAKE,SULLIVAN,2571516.000000000000000,C,PUBLIC SERVICE COMMISSION,"GIBBER, HAROLD",845-794-4915,495.000000000000000,IN,1057079.140625000000000,4100.819400723984472
11,1,690,D-1-35-P40,215.599999999999994,5.000000000000000,Lake Louise Marie,EMERALD GREEN LAKE LOUISE MARIE WS,NY5203346,LAKE LOUISE MARIE INTAKE,SULLIVAN,2571517.000000000000000,C,PUBLIC SERVICE COMMISSION,"CUTLER, JUDITH", ,2400.000000000000000,IN,1563195.921875000000000,10706.457605521922233
12,1,704,SLC-21-P2,2564.099999999999909,18.300000000000001,Upper Chateaugay Lake,TANAGER LODGE,NY0922982,UPPER CHATEAUGAY LAKE,CLINTON,2570893.000000000000000,NP, ,"WELCH, THOMAS",518-425-3386,70.000000000000000,IN,20581876.312500000000000,41444.565115689183585
13,1,717,ONT-84-P96,3115.800000000000182,23.699999999999999,Sodus Bay,EAGLE ISLAND HOMEOWNERS ASSOC,NY5830005,SODUS BAY,WAYNE,2572013.000000000000000,NC,PUBLIC SERVICE COMMISSION,"CUMMING, DONALD J", ,200.000000000000000,IN,23784128.894531250000000,52384.339812838465150
14,1,721,H-31-P44,1948.600000000000136,38.200000000000003,New Croton Reservoir,NEW YORK CITY SYSTEM,NY7003493,NEW CROTON RESERVOIR,NEW YORK ( BOROUGH),2624853.000000000000000,C,USEPA REGION 2,"LLOYD, EMILY",718-595-6500,8271000.000000000000000,IN,13965849.234375000000000,81876.917655161203584
15,3,733,H-264-4-P1095,1718.799999999999955,19.000000000000000,Tomhannock Reservoir,TROY CITY PWS,NY4100050,INTAKES,RENSSELAER,2596696.000000000000000,C, ,"TUTUNJIAN, HARRY",518-270-4401,49170.000000000000000,IN,12951804.171875000000000,41739.629847740587138
16,2,741,ONT-117-40-P67,3207.599999999999909,18.300000000000001,Conesus Lake,AVON VILLAGE,NY2501012,CONESUS LAKE INTAKE,LIVINGSTON,2571220.000000000000000,C, ,"BARRETT, JOHN",585-226-8118,3000.000000000000000,IN,24097497.234375000000000,40184.163008459268895
17,1,822,ONT-117-27-P57,1796.600000000000136,10.700000000000001,Honeoye Lake,SIX-IN-COVE HOMEOWNERS ASSOC.,NY3421731,HONEOYE LAKE,ONTARIO,2571300.000000000000000,NP, ,"SCHRAEDER, NORMAN & BETTY",585-367-3076,12.000000000000000,IN,13488985.597656250000000,23443.033340529007546
18,1,824,ONT-117-27-34-11-P43,668.700000000000045,7.300000000000000,Canadice Lake,ROCHESTER CITY,NY2704518,CANADICE LAKE INTAKE,MONROE,2600309.000000000000000,C, ,"MORRISON, BOB",585-428-6782,214000.000000000000000,IN,5014405.546875000000000,16115.665548141607360
19,1,826,ONT-117-27-34-P44,2074.000000000000000,16.600000000000001,Hemlock Lake,ROCHESTER CITY,NY2704518,HEMLOCK LAKE INTAKE,MONROE,2571238.000000000000000,C, ,"MORRISON, BOB",585-428-6782,214000.000000000000000,IN,15556425.699218750000000,36354.300426352980139
20,4,946,E-P5000,1944458.000000000000000,329.900000000000034,Lake Erie,ECWA DIRECT,NY1400443,LAKE ERIE INTAKE FOR STURGEON POINT,ERIE,2570934.000000000000000,C, ,ERIE COUNTY WATER AUTHORITY,716-849-8484,410479.000000000000000,IN,14468487453.949218750000000,720643.507139854598790
21,1,971,NJ-1-12-P977A,720.100000000000023,9.600000000000000,DeForest Lake,UNITED WATER NEW YORK,NY4303673,LAKE DEFOREST-IN,ROCKLAND,2571391.000000000000000,C,PUBLIC SERVICE COMMISSION,"POINTING, MICHAEL",845-620-3312,270000.000000000000000,IN,5144397.308593750000000,20586.283193123996170
22,1,1013,NJ-12-17-P1008-3-P1010,323.699999999999989,5.300000000000000,Mombasha Lake,MONROE VILLAGE,NY3503535,MOMBASHA LAKE,ORANGE,2571313.000000000000000,C, ,"MONROE, MAYOR & VILLAGE BD",845-783-5162,9516.000000000000000,IN,2323345.570312500000000,11304.380247306691672
23,1,1047,H-193-29-P950A,236.800000000000011,4.900000000000000,Basic Creek Reservoir,ALBANY CITY,NY0100189,BASIC CREEK RESERVOIR,ALBANY,2570793.000000000000000,C, ,"KOSA, JOHN",518-434-5300,101082.000000000000000,IN,1764436.695312500000000,10601.938813802504228
24,1,1119,H-43-P152,292.600000000000023,6.300000000000000,Lake Tiorati,LAKE TIORATI WS,NY3517682,LAKE TIORATI,ORANGE,2571342.000000000000000,NC, ,"WILLIAMS, FRED",845-786-2701,999.000000000000000,IN,2098764.500000000000000,13592.852452932927918
