"LAKE_HISTORY_ID","score","exceedance_rate","med_multiparameter_prop","rank_multiparameter","parameter","excursion_parameters","n_years_10yr","n_samples_10yr","LOCATION_PWL_ID"
"0601WIL0297",22.6666666666667,0.5,45.3333333333333,1,"iron","iron, manganese",0,0,"0601-0098"
"1303WAL0257",12.04,1,12.04,2,"chloride","chloride, fluoride",0,0,"1303-0004"
"1003USA0114",6.06666666666667,1,6.06666666666667,3,"iron","iron, manganese",0,0,"1003-0048"
"0503HOR0036",3.5325,0.5,7.065,4,"manganese","ammonia, iron, manganese",0,0,"0503-0031"
"1403LIL0311",2.2075,0.5,4.415,5,"iron","iron",0,0,"1403-0067"
"1102TOM1095",2.2037037037037,0.555555555555556,3.96666666666667,6,"manganese","iron, manganese",0,0,"1102-0006"
"1104JAC0151",1.81,1,1.81,7,"iron","iron",0,0,"1104-0125"
"1104IRE0136A",1.38,1,1.38,8,"iron","iron",0,0,"1104-0114"
"0503HOR0034",0.386666666666667,0.5,0.773333333333333,9,"manganese","manganese",0,0,"0503-0031"
"1501STE1021C",0.360833333333333,0.5,0.721666666666667,10,"iron","iron",0,0,"1501-0066"
"1101LOU0035",2.02,1,2.02,12,"phosphorus","phosphorus",1,1,"1101-0068"
"1104ROU0137",1.71,1,1.71,13,"phosphorus","phosphorus",1,1,"1104-0115"
"1004BUT0218",1.245,1,1.245,14,"phosphorus","phosphorus",1,1,"1004-0053"
"1101KEE0114",1.23333333333333,1,1.23333333333333,15,"iron","iron",1,1,"1101-0089"
"1104STE0135",2.53333333333333,0.5,5.06666666666667,16,"iron","iron",1,2,"1104-0111"
"1104RIC0152D",2.52333333333333,1,2.52333333333333,17,"iron","iron, manganese",1,2,"1104-0127"
"1301BOG0200",1.0775,0.5,2.155,18,"manganese","iron, manganese",1,2,"1301-0173"
"1003MEA5064",0.459166666666667,0.5,0.918333333333333,19,"manganese","manganese",1,2,"1003-0114"
"0705CAY0296",0.0218115942028986,0.0289855072463768,0.7525,20,"phosphorus","phosphorus",18,138,"0705-0030"
