"seg_id","waterbody","huc_10","basin_name","class","water_type","segment_assessment","use","use_assessment","parameter","grandfathered_from_listings","data_supported","stayCALM_param_eval"
"0104-0001","Lime Lake",412010201,"Lake Erie-Niagara River","b","pond","IR5_impaired","epa_appended_listing","not-applicable","not-applicable","no","yes","not-applicable"
"0104-0001","Lime Lake",412010201,"Lake Erie-Niagara River","b","pond","IR5_impaired","fishing","IR3_unassessed","ammonia","no","yes","unassessed"
"0104-0001","Lime Lake",412010201,"Lake Erie-Niagara River","b","pond","IR5_impaired","primary_contact_recreation","IR5_impaired_confirmed","phosphorus","no","yes","impaired-pollutant_confirmed"
"0104-0001","Lime Lake",412010201,"Lake Erie-Niagara River","b","pond","IR5_impaired","secondary_contact_recreation","IR5_impaired_confirmed","phosphorus","no","yes","impaired-pollutant_confirmed"
"0104-0001","Lime Lake",412010201,"Lake Erie-Niagara River","b","pond","IR5_impaired","shellfishing","not-applicable","not-applicable","no","yes","not-applicable"
"0104-0001","Lime Lake",412010201,"Lake Erie-Niagara River","b","pond","IR5_impaired","source_of_water_supply","not-applicable","not-applicable","no","yes","not-applicable"
"0104-0004","Java Lake",412010201,"Lake Erie-Niagara River","b","pond","IR4c_impaired","epa_appended_listing","not-applicable","not-applicable","no","yes","not-applicable"
"0104-0004","Java Lake",412010201,"Lake Erie-Niagara River","b","pond","IR4c_impaired","fishing","IR3_unassessed","ammonia","no","yes","unassessed"
"0104-0004","Java Lake",412010201,"Lake Erie-Niagara River","b","pond","IR4c_impaired","primary_contact_recreation","IR4a_impaired_confirmed","phosphorus","no","yes","impaired-tmdl_confirmed"
"0104-0004","Java Lake",412010201,"Lake Erie-Niagara River","b","pond","IR4c_impaired","secondary_contact_recreation","IR4c_impaired_confirmed","algal_weed_growth","yes","no","unassessed"
"0104-0004","Java Lake",412010201,"Lake Erie-Niagara River","b","pond","IR4c_impaired","shellfishing","not-applicable","not-applicable","no","yes","not-applicable"
"0104-0004","Java Lake",412010201,"Lake Erie-Niagara River","b","pond","IR4c_impaired","source_of_water_supply","not-applicable","not-applicable","no","yes","not-applicable"
"0104-0060","Rainbow, Timber Lakes",412010202,"Lake Erie-Niagara River","c(t)","pond","IR3_unassessed","epa_appended_listing","not-applicable","not-applicable","no","yes","not-applicable"
"0104-0060","Rainbow, Timber Lakes",412010202,"Lake Erie-Niagara River","c(t)","pond","IR3_unassessed","fishing","IR3_unassessed","ammonia","no","yes","unassessed"
"0104-0060","Rainbow, Timber Lakes",412010202,"Lake Erie-Niagara River","c(t)","pond","IR3_unassessed","primary_contact_recreation","not-applicable","not-applicable","no","yes","not-applicable"
"0104-0060","Rainbow, Timber Lakes",412010202,"Lake Erie-Niagara River","c(t)","pond","IR3_unassessed","secondary_contact_recreation","not-applicable","not-applicable","no","yes","not-applicable"
"0104-0060","Rainbow, Timber Lakes",412010202,"Lake Erie-Niagara River","c(t)","pond","IR3_unassessed","shellfishing","not-applicable","not-applicable","no","yes","not-applicable"
"0104-0060","Rainbow, Timber Lakes",412010202,"Lake Erie-Niagara River","c(t)","pond","IR3_unassessed","source_of_water_supply","not-applicable","not-applicable","no","yes","not-applicable"
"0201-0016","Cuba Lake",501000104,"Allegheny River","b","pond","IR5_impaired","epa_appended_listing","not-applicable","not-applicable","no","yes","not-applicable"
"0201-0016","Cuba Lake",501000104,"Allegheny River","b","pond","IR5_impaired","fishing","IR5_impaired_confirmed","dissolved_oxygen","yes","no","unassessed"
"0201-0016","Cuba Lake",501000104,"Allegheny River","b","pond","IR5_impaired","primary_contact_recreation","IR5_impaired_confirmed","phosphorus","no","yes","impaired-pollutant_confirmed"
"0201-0016","Cuba Lake",501000104,"Allegheny River","b","pond","IR5_impaired","secondary_contact_recreation","IR5_impaired_confirmed","phosphorus","no","yes","impaired-pollutant_confirmed"
"0201-0016","Cuba Lake",501000104,"Allegheny River","b","pond","IR5_impaired","shellfishing","not-applicable","not-applicable","no","yes","not-applicable"
"0201-0016","Cuba Lake",501000104,"Allegheny River","b","pond","IR5_impaired","source_of_water_supply","not-applicable","not-applicable","no","yes","not-applicable"
"0202-0003","Lower Cassadaga Lake",501000203,"Allegheny River","b","pond","IR4c_impaired","epa_appended_listing","not-applicable","not-applicable","no","yes","not-applicable"
"0202-0003","Lower Cassadaga Lake",501000203,"Allegheny River","b","pond","IR4c_impaired","fishing","IR3_impaired_unconfirmed","dissolved_oxygen","no","yes","impaired_unconfirmed"
"0202-0003","Lower Cassadaga Lake",501000203,"Allegheny River","b","pond","IR4c_impaired","primary_contact_recreation","IR3_impaired_unconfirmed","dissolved_oxygen","no","yes","impaired_unconfirmed"
"0202-0003","Lower Cassadaga Lake",501000203,"Allegheny River","b","pond","IR4c_impaired","secondary_contact_recreation","IR4c_impaired_confirmed","algal_weed_growth","yes","no","unassessed"
"0202-0003","Lower Cassadaga Lake",501000203,"Allegheny River","b","pond","IR4c_impaired","shellfishing","not-applicable","not-applicable","no","yes","not-applicable"
"0202-0003","Lower Cassadaga Lake",501000203,"Allegheny River","b","pond","IR4c_impaired","source_of_water_supply","not-applicable","not-applicable","no","yes","not-applicable"
"0202-0004","Findley Lake",501000401,"Allegheny River","b","pond","IR5_impaired","epa_appended_listing","not-applicable","not-applicable","no","yes","not-applicable"
"0202-0004","Findley Lake",501000401,"Allegheny River","b","pond","IR5_impaired","fishing","IR1_fully-supported_confirmed","nitrite","no","yes","fully-supported_confirmed"
"0202-0004","Findley Lake",501000401,"Allegheny River","b","pond","IR5_impaired","primary_contact_recreation","IR4a_impaired_confirmed","phosphorus","no","yes","impaired-tmdl_confirmed"
"0202-0004","Findley Lake",501000401,"Allegheny River","b","pond","IR5_impaired","secondary_contact_recreation","IR5_impaired_confirmed","dissolved_oxygen","yes","no","unassessed"
"0202-0004","Findley Lake",501000401,"Allegheny River","b","pond","IR5_impaired","shellfishing","not-applicable","not-applicable","no","yes","not-applicable"
"0202-0004","Findley Lake",501000401,"Allegheny River","b","pond","IR5_impaired","source_of_water_supply","not-applicable","not-applicable","no","yes","not-applicable"
"0202-0020","Chautauqua Lake, South",501000202,"Allegheny River","a","pond","IR4c_impaired","epa_appended_listing","not-applicable","not-applicable","no","yes","not-applicable"
"0202-0020","Chautauqua Lake, South",501000202,"Allegheny River","a","pond","IR4c_impaired","fishing","IR3_unassessed","ammonia","no","yes","unassessed"
"0202-0020","Chautauqua Lake, South",501000202,"Allegheny River","a","pond","IR4c_impaired","primary_contact_recreation","IR4c_impaired_confirmed","algal_weed_growth","yes","no","unassessed"
"0202-0020","Chautauqua Lake, South",501000202,"Allegheny River","a","pond","IR4c_impaired","secondary_contact_recreation","IR4c_impaired_confirmed","algal_weed_growth; problem_species","yes","no","unassessed"
"0202-0020","Chautauqua Lake, South",501000202,"Allegheny River","a","pond","IR4c_impaired","shellfishing","not-applicable","not-applicable","no","yes","not-applicable"
"0202-0020","Chautauqua Lake, South",501000202,"Allegheny River","a","pond","IR4c_impaired","source_of_water_supply","IR4c_impaired_confirmed","algal_weed_growth","yes","no","unassessed"
"0202-0072","Chautauqua Lake, North",501000202,"Allegheny River","a","pond","IR5_impaired","epa_appended_listing","not-applicable","not-applicable","no","yes","not-applicable"
"0202-0072","Chautauqua Lake, North",501000202,"Allegheny River","a","pond","IR5_impaired","fishing","IR5_impaired_confirmed","nitrite","no","yes","impaired-pollutant_confirmed"
"0202-0072","Chautauqua Lake, North",501000202,"Allegheny River","a","pond","IR5_impaired","primary_contact_recreation","IR4c_impaired_confirmed","algal_weed_growth","yes","no","unassessed"
"0202-0072","Chautauqua Lake, North",501000202,"Allegheny River","a","pond","IR5_impaired","secondary_contact_recreation","IR4c_impaired_confirmed","algal_weed_growth","yes","no","unassessed"
"0202-0072","Chautauqua Lake, North",501000202,"Allegheny River","a","pond","IR5_impaired","shellfishing","not-applicable","not-applicable","no","yes","not-applicable"
"0202-0072","Chautauqua Lake, North",501000202,"Allegheny River","a","pond","IR5_impaired","source_of_water_supply","IR5_impaired_confirmed","nitrite","no","yes","impaired-pollutant_confirmed"
"0301-0035","Waterport Pond",413000104,"Lake Ontario","c","pond","IR3_needs-verification","epa_appended_listing","not-applicable","not-applicable","no","yes","not-applicable"
"0301-0035","Waterport Pond",413000104,"Lake Ontario","c","pond","IR3_needs-verification","fishing","IR3_impaired_unconfirmed","dissolved_oxygen","no","yes","impaired_unconfirmed"
"0301-0035","Waterport Pond",413000104,"Lake Ontario","c","pond","IR3_needs-verification","primary_contact_recreation","not-applicable","not-applicable","no","yes","not-applicable"
"0301-0035","Waterport Pond",413000104,"Lake Ontario","c","pond","IR3_needs-verification","secondary_contact_recreation","not-applicable","not-applicable","no","yes","not-applicable"
"0301-0035","Waterport Pond",413000104,"Lake Ontario","c","pond","IR3_needs-verification","shellfishing","not-applicable","not-applicable","no","yes","not-applicable"
"0301-0035","Waterport Pond",413000104,"Lake Ontario","c","pond","IR3_needs-verification","source_of_water_supply","not-applicable","not-applicable","no","yes","not-applicable"
"0302-0012","Port Bay",414010103,"Lake Ontario","b","pond","IR4a_impaired","epa_appended_listing","not-applicable","not-applicable","no","yes","not-applicable"
