"LAKE_HISTORY_ID","LAKE_POND_NUMBER","found"
"1601UWB1117A","P 1117A","no"
"1501UWB1007A","P 1007A","no"
"1404TRA5563","P 5563","no"
"1404BLA0462A","P 462A","no"
"1309UWB6509","P 6509","no"
"1307SAU0834","P 834","no805.4.html861.4.html880.6.html923.4.html"
"1306UWB6070","P 6070","no"
"1306UWB6000","P 6000","no"
"1306UWB0683","P 683","no805.4.html855.5.html876.4.html941.6.html"
"1306MIL0515","P 515","no805.4.html855.5.html876.4.html921.4.html941.6.html"
"1306GLE0668","P 668","no805.4.html855.5.html941.6.html"
"1301UWB5426","P 5426","no"
"1301UWB0438P","P 438P","no"
"1301UWB0413","P 413","no805.4.html815.6.html830.6.html862.html941.6.html"
"1301UWB0215B","P 215B","no"
"1301FER0028C","P 28C","no"
"1301CAM0163A","P 163A","no"
"1203HER0798F","P 798F","no"
"1202UWB0589A","P 589A","no"
"1202TAN0655D","P 655D","no"
"1201UWB5293","P 5293","no"
"1201UWB0706B","P 706B","no"
"1201UWB0662","P 662","no805.4.html876.4.html924.6.html941.6.html"
"1201FOR0681A","P 681A","no"
"1201FOR0681","P 681","no805.4.html855.5.html876.4.html924.6.html941.6.html"
"1201DOL0709","P 709","no805.4.html878.6.html924.6.html941.6.html"
"1201COL0670","P 670","no805.4.html876.4.html941.6.html"
"1104UWB0134D","P 134D","no"
"1104GLO0150A","P 150A","no"
"1101UWB1081","P 1081","no890.6.html941.6.html"
"1101NEW0099C","P 99C","no"
"1101DOR0098","P 98","no802.4.html805.4.html815.6.html821.6.html830.6.html847.5.html863.6.html864.6.html865.6.html875.4.html885.6.html910.6.html931.4.html941.6.html"
"1005UWB5349","P 5349","no"
"1004UWB0212","P 212","no815.6.html830.6.html863.6.html898.4.html910.6.html931.4.html941.6.html"
"1003RAY0091","P 91","no805.4.html815.6.html821.6.html847.5.html863.6.html880.6.html910.6.html925.6.html"
"0906CAR0050","P 50","no805.4.html811.6.html815.6.html821.6.html830.6.html837.4.html847.5.html855.5.html863.6.html864.6.html876.4.html899.4.html910.6.html921.4.html924.6.html941.6.html"
"0901STL5150","P 5150","no"
"0801LOW0594","P 594","no805.4.html879.6.html941.6.html"
"0705UWB0340A","P 340A","no"
"0705CAY0296","P 296","no862.html863.6.html898.4.html910.6.html925.6.html941.6.html"
"0601UWB0395","P 395","no805.4.html815.6.html857.4.html898.4.html924.6.html941.6.html"
"0503HOR0035","P 35","no811.6.html815.6.html821.6.html830.6.html847.5.html862.html863.6.html898.4.html899.4.html910.6.html921.4.html931.4.html941.6.html"
"0501ELM0019","P 19","no811.6.html815.6.html821.6.html830.6.html847.5.html848.4.html859.4.html862.html863.6.html896.4.html898.4.html899.4.html910.6.html931.4.html941.6.html"
"0404DAN0092F","P 92F","no"
"0402UWB0030","P 30","no811.6.html815.6.html821.6.html830.6.html862.html863.6.html864.6.html898.4.html910.6.html925.6.html931.4.html941.6.html"
"0302UWB5258","P 5258","no"
"0302UWB0008","P 8","no802.4.html805.4.html811.6.html815.6.html820.4.html821.6.html830.6.html837.4.html838.6.html847.5.html855.4.html861.4.html862.html863.6.html864.6.html880.6.html885.6.html891.6.html897.4.html899.4.html910.6.html920.4.html922.4.html923.4.html925.6.html931.4.html941.6.html"
"0202CHA0122","P 122","no800.9.html815.6.html838.6.html863.6.html864.6.html885.6.html910.6.html941.6.html"
"0105UWB0166M","P 166M","no"
"0100ERI5000","P 5000","no"
