PWS ID,PWS Name,PWS Type,Primary Source,Counties Served,Cities Served,PopulationServed Count,Number of Facilities,Owner Type
NY5930069,796 BEDFORD ROAD APARTMENTS,Community water system,Ground water,Westchester,BEDFORD (T),40,5,Private
NY2202351,ADAMS (T) WD #1 & 2  (ADAMS CENTER),Community water system,Ground water purchased,Jefferson,ADAMS (T),1000,4,Private
NY1006328,ADAMS CROSSING MOBILE HOME PARK,Community water system,Ground water,Columbia,NEW LEBANON (T),70,5,Private
NY2202328,ADAMS VILLAGE,Community water system,Ground water,Jefferson,ADAMS (T),2000,13,Local government
NY5001203,ADDISON VILLAGE,Community water system,Ground water,Steuben,ADDISON (V),1850,9,Local government
NY5230211,ADELAAR WATER DISTRICT,Community water system,Surface water purchased,Sullivan,THOMPSON (T),1000,3,Local government
NY1510497,ADIRONDACK CORRECTIONAL FACILITY,Community water system,Surface water,Essex,NORTH ELBA (T),2400,11,State government
NY5621920,ADIRONDACK LODGES - ADIRONDACK,Community water system,Ground water,Warren,HORICON (T),150,10,Private
NY0801738,AFTON VILLAGE,Community water system,Ground water,Chenango,AFTON (V),838,13,Local government
NY5301406,AIRWAYS MHP,Community water system,Ground water,Tioga,TIOGA (T),69,5,Private
NY1400397,AKRON VILLAGE,Community water system,Surface water,Erie,AKRON  (V),3100,17,Local government
NY1830035,ALABAMA WATER DISTRICT NO.1,Community water system,Surface water purchased,Genesee,,90,4,Local government
NY1830051,ALABAMA WATER DISTRICT NO.2,Community water system,Unknown Primary Source,Genesee,ALABAMA (T),692,1,Local government
NY0100189,ALBANY CITY,Community water system,Surface water,Albany,ALBANY (C),101082,12,Local government
NY2902815,ALBERTSON WD,Community water system,Ground water,Nassau,NORTH HEMPSTEAD (T),13500,20,Local government
NY3623006,ALBION TOWN,Community water system,Surface water purchased,Orleans,ALBION (T),2725,3,Local government
NY3600596,ALBION VILLAGE,Community water system,Surface water,Orleans,ALBION (V),6000,10,Local government
NY1400398,ALDEN VILLAGE,Community water system,Ground water,Erie,ALDEN (T),2666,14,Local government
NY1830045,ALEXANDER TOWN WD2,Community water system,Unknown Primary Source,Genesee,,127,1,Local government
NY1800542,ALEXANDER VILLAGE,Community water system,Surface water purchased,Genesee,ALEXANDER (V),785,6,Local government
NY2202329,ALEXANDRIA BAY VILLAGE,Community water system,Surface water,Jefferson,ALEXANDRIA BAY (V),1900,6,Local government
NY2202356,ALEXANDRIA TOWN WD #1 - OTTER STREET,Community water system,Surface water purchased,Jefferson,ALEXANDRIA BAY (V),60,3,Local government
NY2230107,ALEXANDRIA TOWN WD #2 - REDWOOD,Community water system,Surface water purchased,Jefferson,,500,3,Local government
